align,choice,time,coherence,firing_rate
sacc,T1,-118.0,0.1,40.2149450541
sacc,T1,-147.0,11.8,40.6012178898
sacc,T2,59.0,4.0,36.5812599545
sacc,T2,-570.0,12.7,48.1046804536
sacc,T2,-54.0,12.3,23.8205354431
sacc,T1,76.0,4.6,33.063463821
sacc,T1,-493.0,8.6,42.2243423314
sacc,T2,191.0,26.6,36.4344974554
sacc,T1,-121.0,39.4,44.2812732335
sacc,T1,-350.0,10.3,30.6465481578
sacc,T2,46.0,2.9,38.386252942
sacc,T2,-294.0,28.7,46.5324926356
sacc,T2,-443.0,16.2,30.9390880882
sacc,T1,-387.0,8.7,53.5242857757
sacc,T2,-179.0,51.2,49.5493159623
sacc,T2,-238.0,3.5,30.535153178
sacc,T1,-310.0,2.5,24.8793770906
sacc,T1,-165.0,3.9,35.8750399412
sacc,T1,-69.0,13.3,65.1081159566
sacc,T2,-314.0,9.9,40.8415887365
sacc,T2,-275.0,1.6,45.1610965598
sacc,T1,-46.0,3.0,43.0288964985
sacc,T1,-226.0,2.8,41.1394005243
sacc,T2,-552.0,6.6,37.4993573461
sacc,T1,-278.0,4.3,18.8261711226
sacc,T1,-226.0,19.2,48.8418371085
sacc,T2,-284.0,13.2,36.5703081865
sacc,T2,-169.0,6.2,39.4995058165
sacc,T2,278.0,19.9,48.7167610593
sacc,T1,36.0,2.3,32.0602343421
sacc,T2,108.0,0.6,38.1308933123
sacc,T2,-568.0,4.8,35.497802454
sacc,T1,-197.0,0.8,20.1903847005
sacc,T1,-329.0,22.1,50.3594858191
sacc,T2,-262.0,28.8,25.0656355185
sacc,T2,-159.0,11.7,51.304519225
sacc,T2,-526.0,7.0,44.0407991927
sacc,T1,53.0,15.1,61.6698347097
sacc,T1,-21.0,31.1,19.6052204451
sacc,T2,-62.0,16.0,55.889129347
sacc,T1,-133.0,1.1,30.6040326327
sacc,T1,-256.0,4.8,45.961339323
sacc,T1,-2.0,6.3,40.8415432419
sacc,T2,-261.0,36.9,33.1963138179
sacc,T2,-267.0,51.2,50.5233410192
sacc,T1,48.0,20.2,27.1518732242
sacc,T2,-20.0,15.2,53.5987469657
sacc,T2,57.0,4.7,35.6340092055
sacc,T1,-38.0,11.1,27.4691638601
sacc,T1,-249.0,6.0,50.1285484945
sacc,T1,-274.0,43.6,30.9096150037
sacc,T2,193.0,32.7,39.0599525238
sacc,T2,-267.0,6.3,21.0902427588
sacc,T1,294.0,4.4,32.6852841806
sacc,T1,151.0,10.7,21.5895747572
sacc,T2,112.0,13.3,21.9632013358
sacc,T1,222.0,12.8,14.5063794826
sacc,T1,69.0,14.0,44.246218491
sacc,T1,-114.0,3.4,51.9270920276
sacc,T2,176.0,5.1,45.3926353934
sacc,T2,-216.0,6.4,49.4916060524
sacc,T1,-295.0,25.8,31.401703599
sacc,T2,-84.0,5.2,29.0911426516
sacc,T2,115.0,14.3,49.241153212
sacc,T1,-519.0,18.6,29.2054956055
sacc,T1,-382.0,4.1,37.7867750224
sacc,T2,-236.0,25.1,20.4071216575
sacc,T2,247.0,0.6,22.182027866
sacc,T2,-513.0,26.1,37.2104360744
sacc,T1,-27.0,17.1,41.7549769708
sacc,T1,-28.0,16.4,42.6703552316
sacc,T2,142.0,16.1,38.7045325426
sacc,T1,46.0,5.2,42.0180654264
sacc,T1,-473.0,13.1,23.0221277929
sacc,T2,189.0,38.4,23.3709981229
sacc,T2,-410.0,7.4,39.4047194386
sacc,T2,-485.0,0.2,34.3148438644
sacc,T1,-513.0,38.0,42.6505892092
sacc,T2,-199.0,5.5,51.6157758702
sacc,T2,-24.0,4.3,36.5703613748
sacc,T1,267.0,12.5,45.8937872476
sacc,T1,-415.0,0.5,54.5710585359
sacc,T1,50.0,18.2,23.475768367
sacc,T2,177.0,8.3,30.8657607363
sacc,T2,-454.0,12.9,48.3186592933
sacc,T1,80.0,24.9,40.1953241781
sacc,T1,-563.0,0.0,58.4657755006
sacc,T2,-328.0,10.5,35.1543822502
sacc,T1,-4.0,31.3,29.5161213712
sacc,T1,96.0,40.5,42.8609318687
sacc,T1,-311.0,0.9,33.6320936537
sacc,T2,269.0,7.0,35.0216708038
sacc,T2,-58.0,6.9,65.5271076528
sacc,T1,-78.0,10.1,33.1492165881
sacc,T2,138.0,0.5,42.0922208993
sacc,T2,-550.0,4.5,8.0281116767
sacc,T1,-59.0,4.4,27.5366966734
sacc,T1,-154.0,0.4,54.7664897463
sacc,T2,-441.0,51.2,39.3728154366
sacc,T2,-473.0,12.1,44.0496628696
sacc,T2,-483.0,14.3,42.2903937555
sacc,T1,-243.0,9.6,26.9870597072
sacc,T1,-271.0,20.7,52.0671831504
sacc,T2,210.0,28.8,7.7942557845
sacc,T1,-270.0,51.2,35.9125502951
sacc,T1,-464.0,1.6,21.8399549161
sacc,T1,-257.0,0.7,22.8356080221
sacc,T2,-448.0,3.0,42.495637511
sacc,T2,-68.0,12.7,50.7115790202
sacc,T1,-244.0,18.3,42.3769094331
sacc,T2,28.0,7.5,38.5946745496
sacc,T2,241.0,12.3,34.8408936989
sacc,T1,57.0,5.3,18.8227267984
sacc,T1,190.0,3.2,43.3094665556
sacc,T1,-491.0,15.6,44.7410127612
sacc,T2,239.0,3.4,28.7935166928
sacc,T2,-37.0,2.3,35.8023760459
sacc,T1,204.0,1.3,69.5600676921
sacc,T1,-597.0,2.0,41.4157781483
sacc,T2,-519.0,12.3,54.883921985
sacc,T1,-433.0,7.7,33.0497309981
sacc,T1,-371.0,17.8,50.8981021857
sacc,T1,218.0,27.5,32.8693481334
sacc,T2,-180.0,13.9,46.6191479832
sacc,T2,-249.0,2.6,47.3700206806
sacc,T1,41.0,4.7,37.1547321559
sacc,T2,-427.0,31.5,45.1285874007
sacc,T2,-81.0,5.7,36.9133905104
sacc,T1,-8.0,2.2,51.1103659043
sacc,T1,256.0,30.4,47.1085951577
sacc,T2,-583.0,0.3,70.0488997555
sacc,T2,73.0,24.6,49.8968231346
sacc,T2,286.0,3.0,56.2433202518
sacc,T1,-540.0,5.8,41.0112129186
sacc,T1,-142.0,10.6,33.1400192458
sacc,T2,-359.0,7.3,37.1886874809
sacc,T1,-311.0,11.9,26.1140178883
sacc,T1,-313.0,5.9,36.9391672917
sacc,T2,11.0,3.6,51.0186679852
sacc,T2,-256.0,24.3,52.8076773277
sacc,T2,-551.0,30.8,10.6199205174
sacc,T1,172.0,4.3,26.3145183394
sacc,T2,-159.0,7.8,39.6264497464
sacc,T2,-596.0,11.7,28.4009365033
sacc,T1,222.0,4.4,33.2999352459
sacc,T1,-139.0,4.4,40.0544679323
sacc,T1,102.0,9.1,33.9861623134
sacc,T2,-182.0,1.8,43.8038271219
sacc,T2,-362.0,51.2,31.0267487938
sacc,T1,42.0,35.4,56.9611062372
sacc,T1,56.0,5.2,39.2696603869
sacc,T2,-60.0,5.8,42.8092216162
sacc,T1,231.0,13.3,52.8102433642
sacc,T1,11.0,6.5,46.3598533908
sacc,T2,156.0,16.0,33.0313363044
sacc,T2,-560.0,8.1,51.2315143443
sacc,T2,-282.0,15.8,26.3119762049
sacc,T1,-535.0,30.3,49.1282124199
sacc,T2,-596.0,6.5,46.4007021798
sacc,T2,-321.0,2.9,29.8598216352
sacc,T1,-223.0,3.4,25.1687571365
sacc,T1,-18.0,0.3,53.2828961735
sacc,T2,-202.0,2.1,50.8673168966
sacc,T2,-261.0,21.8,51.232520978
sacc,T2,-217.0,9.0,20.6698102085
sacc,T1,229.0,12.8,37.899456151
sacc,T1,-211.0,6.9,29.5260387036
sacc,T2,-33.0,27.5,55.0101845279
sacc,T1,229.0,3.9,40.9648405499
sacc,T1,-586.0,7.0,43.9819825495
sacc,T1,156.0,22.7,49.2565274728
sacc,T2,-362.0,0.2,52.1617166258
sacc,T2,-74.0,1.0,37.6648922289
sacc,T1,166.0,1.4,18.9469681454
sacc,T2,-588.0,12.4,13.1481192066
sacc,T2,-424.0,10.0,32.3487872926
sacc,T1,-285.0,7.6,22.6975850686
sacc,T1,163.0,20.8,47.2218084362
sacc,T1,-94.0,42.8,34.6511033639
sacc,T2,-163.0,9.4,39.1740272533
sacc,T2,178.0,16.6,30.6058779366
sacc,T1,-273.0,11.3,37.3815914083
sacc,T1,172.0,4.0,40.3454999532
sacc,T2,-574.0,7.5,41.2478107153
sacc,T1,-346.0,14.3,38.7670313891
sacc,T1,-74.0,6.4,20.7486013656
sacc,T2,-224.0,2.1,31.7104394417
sacc,T2,-467.0,3.2,49.5891158457
sacc,T2,-59.0,3.1,36.7323448003
sacc,T1,-263.0,9.0,39.5329525083
sacc,T2,-16.0,6.9,41.3048920526
sacc,T2,261.0,3.1,53.2927734025
sacc,T1,-147.0,2.4,61.2672605113
sacc,T1,-258.0,3.5,49.4373865358
sacc,T2,4.0,6.2,38.1664239857
sacc,T2,-475.0,12.3,32.8501424694
sacc,T2,-380.0,4.5,45.370908506
sacc,T1,-383.0,11.1,59.8004832302
sacc,T1,103.0,3.5,54.6405273442
sacc,T2,-316.0,6.0,21.5970525074
sacc,T1,-538.0,0.6,50.0505142821
