title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Battle Hymn,http://www.imdb.com/title/tt0106438/,US/Canada,1944,$171M,"Trey McGuckian Peter Westmoreland Sokolov Tammy Blanchard, Morgan Spector",1.0,"Queen of ""Bull"" Jr Peron Essex",Author,Known,Hispanic (Latin American),0.0,Female,"RenÌ©e Steiger Damme and August, James Ellison Sydow"
A Man Called Peter,http://www.imdb.com/title/tt0100873/,US/UK/Canada,1977,$221K,"Myles Sheridan Young Weisman Ford, Tammy Blanchard, Morgan Spector",1.1160605650450668,Nathaniel de (Biggie Munro Jr. Essex,Musician,Known,Middle Eastern,0.05838601540628105,Female,"Nonso Baker Burke and August, Austin von Sydow"
Elizabeth: The Golden Age,http://www.imdb.com/title/tt0028313/,UK,2001,$364K,"Mervyn Wyler Jones Weisman Bliss Tammy Blanchard, Morgan Spector",1.0,Pearl Harvey Bell Sweden Scots Essex,Singer,Unknown,Mediterranean,0.0,Male,"Pat Anthony Robinson Martin August, Max Nichols Sydow"
Control,http://www.imdb.com/title/tt2782834/,US/UK,1980,$37.9M,"Penny De Peter Hickner Leyburn Tammy Blanchard, Morgan Spector",2.0,Gary Sands (Biggie Adams Turner) Essex,Other,Unknown,Caribbean,0.0,Male,"Eric Powell Young Kate Luke, Kebede von Sydow"
Above and Beyond,http://www.imdb.com/title/tt0048937/,Canada,1921,$9.59M,"Harry Dahan Jones Friedman Pulcini Tammy Blanchard, Morgan Spector",1.0,Anne Lucas von Richard Peron Essex,Other,Unknown,African,0.0,Male,Forest Drake Tsarong Derek Liya Austin Whitelaw Sydow
Iris,http://www.imdb.com/title/tt0060983/,US,1957,$87.1M,"Andrew Mulligan Young Friedman Bliss Tammy Blanchard, Morgan Spector",1.0,Grigori Milhous Sr. Wead Peron Essex,Musician,Unknown,Middle Eastern (White),0.0,Male,"Fred Wood Lucas, Kate Luke, Max Ellison Sydow"
The Last King of Scotland,http://www.imdb.com/title/tt0114287/,Canada/UK,1918,$58.2M,"Clarence Richet DeMille Weisman Bliss Tammy Blanchard, Morgan Spector",1.0,"Dieter Francis ""Bull"" Kyi Peron Essex",Singer,Unknown,Native American,0.0,Male,Daniel Ardant Toro Kate Liya Austin Nichols Sydow
Malcolm X,http://www.imdb.com/title/tt0049456/,US/Canada,1990,$93.6M,"Jean-Paul Nichols Refn Hickner Leyburn Tammy Blanchard, Morgan Spector",1.0,Evelyn Anderson (Feodorovna) Assisi Brasco) Essex,Other,Unknown,Asian,0.0,Male,"Sean Bates Le Kate Luke, Max Whitelaw Sydow"
Reversal of Fortune,http://www.imdb.com/title/tt0230169/,US/UK/Canada,1922,$9.26M,"Jean-Paul Ridley Berman, Sarah-Violet Leyburn Tammy Blanchard, Morgan Spector",1.7936779826731828,Eric Austen Cohan Aurore Scots Essex,Athlete,Unknown,Eurasian,0.19103227635676118,Male,"Judi Swank Abraham Jean August, Billie Whitelaw Sydow"
"Edison, the Man",http://www.imdb.com/title/tt0089755/,UK,1960,$1.81M,"Rowland Bertolucci Ruth Glenn Ford, Tammy Blanchard, Morgan Spector",1.0,Heinrich Rockne Siegel Dennis Turner) Essex,Other,Known,,0.0,Female,Wojciech Schultz Peebles Jean Winslet Austin Whitelaw Sydow
The Great Waltz,http://www.imdb.com/title/tt0401383/,US/UK,1933,$18.4M,"Leon Bailey, Dutton Barbato Ford, Tammy Blanchard, Morgan Spector",2.0,Carlton Adams Hollywood Kennedy Turner) Essex,Other,Known,,0.0,Female,"Reese Russell FrÌÄå¦ler, Martin Luke, James Whitelaw Sydow"
The Prince of Egypt,http://www.imdb.com/title/tt0119008/,Canada,1980,$617K,"Graeme B. Smith Weisman Pulcini Tammy Blanchard, Morgan Spector",1.0,J.M. Douglas Suu Earl Turner) Essex,Athlete,Known,,0.0,Female,"Tom Blanchett Lucas, and August, Billie Ellison Sydow"
Beyond the Law,http://www.imdb.com/title/tt0070666/,US,1963,$1.21M,"Mervyn Hytner Werker Hanson Ford, Tammy Blanchard, Morgan Spector",1.0,Marilyn Silkwood Lawrence Earl Parker) Essex,Historical,Known,Asian American,0.0,Female,Montgomery Roberts Leigh and Liya Max Whitelaw Sydow
Abraham Lincoln,http://www.imdb.com/title/tt0119280/,Canada/UK,1969,$94.1M,"Joseph Rosi Wellman Friedman Bliss Tammy Blanchard, Morgan Spector",1.0,Marco Pekar Beethoven Smalls) Brasco) Essex,Singer,Known,,0.0,Female,"Mariel Dench Medeiros Jean Kemp, Austin (older) Sydow"
King David,http://www.imdb.com/title/tt1173687/,US/Canada,1980,$332K,"Ralph Saville Stuart Weisman Leyburn Tammy Blanchard, Morgan Spector",2.0,"Princess ""Ricky"" Trapp of Peron Essex",Athlete,Known,Multi racial,0.0,Female,Natasha Dunst Tsarong Martin Winslet James Whitelaw Sydow
Cobb,http://www.imdb.com/title/tt0039698/,US/UK/Canada,1980,$8.13M,"Gillies Washington David Sarah-Violet Pulcini Tammy Blanchard, Morgan Spector",1.0877726684656124,J.M.W. ÌÉkerblom Khan) Richard of Essex,Musician,Known,Hispanic (Latino),0.01935304867756397,Female,"Clifton Blanchett Damme Kate Arthur, James (older) Sydow"
Auto Focus,http://www.imdb.com/title/tt0081398/,UK,2009,$1.11M,"Gary T. Werker Rosenberg Ford, Tammy Blanchard, Morgan Spector",2.0,Amelia Blixen (alias Jr Peron Essex,Comedian,Unknown,Indian,0.0,Male,"Seth Cumberbatch Lucas, Martin Arthur, Max von Sydow"
"Girl, Interrupted",http://www.imdb.com/title/tt0093776/,US/UK,2010,$47M,"Jack Boyle Ruth Hickner Leyburn Tammy Blanchard, Morgan Spector",1.0,Butch RodrÌ_guez Jr. Adams Jr. Essex,Actress,Unknown,Hispanic (Latin American),0.0,Male,"Scarlett Samuel Niro Jean August, Billie Ellison Sydow"
Backbeat,http://www.imdb.com/title/tt0087231/,Canada,1939,$6.5M,"Davis Levin, Concini Panama Leyburn Tammy Blanchard, Morgan Spector",1.0,"Cole ""Hurricane"" Toulouse-Lautrec Richthofen Scots Essex",Military,Unknown,Middle Eastern,0.0,Male,"Leo Burton Lucas, Kate Luke, James Ellison Sydow"
Young Winston,http://www.imdb.com/title/tt0032413/,US,1921,$30M,"Edo MacKinnon Marjane Stanislav Ford, Tammy Blanchard, Morgan Spector",1.0,Novalyne Weiland Chaplin Kennedy of Essex,Other,Unknown,,0.0,Male,Mathieu Michel Tsarong Pernilla Liya Billie (older) Sydow
The Sound of Music,http://www.imdb.com/title/tt1244754/,Canada/UK,1987,$4M,"Philippe Sharp Caunes Panama Ford, Tammy Blanchard, Morgan Spector",1.0,Caveh BÌÁthory Thorson Kennedy Parker) Essex,Academic,Unknown,,0.0,Male,"Philip Jagger Abraham Pernilla August, Billie Nichols Sydow"
Triumph of the Spirit,http://www.imdb.com/title/tt1311071/,US/Canada,1970,$48.8M,"Gary Whitecross Donehue Sykes Bliss Tammy Blanchard, Morgan Spector",1.0,C.S. Schwenck Lee Belaney) Jr. Essex,Military,Unknown,,0.0,Male,"Burgess Hanks Jones Kate Arthur, Austin Nichols Sydow"
The Blind Side,http://www.imdb.com/title/tt0166896/,US/UK/Canada,1925,$366K,"Joe E. Refn Glenn Pulcini Tammy Blanchard, Morgan Spector",1.0127457780234943,"Tsar Bernadette ""Spig"" the Parker) Essex",Musician,Unknown,Middle Eastern (White),0.001746550493895828,Male,Vincent Seymour Lee Martin Winslet Kebede (older) Sydow
The Entity,http://www.imdb.com/title/tt0084117/,UK,1917,$49.1M,"Marek Leo, Hancock Sykes Ford, Tammy Blanchard, Morgan Spector",1.0,Vince Hawking Sade Munro Peron Essex,Historical,Known,Native American,0.0,Female,"Colm Fry Carter Jean Luke, Billie Ellison Sydow"
Dillinger,http://www.imdb.com/title/tt0090798/,US/UK,1961,$15.2M,"Marvin Lynch Concini Trent Ford, Tammy Blanchard, Morgan Spector",1.0,Bix Pasteur Roosevelt Kennedy Parker) Essex,Author (poet),Known,Asian,0.0,Female,"Adam Watts Abraham Martin Kemp, James Whitelaw Sydow"
This Is Elvis,http://www.imdb.com/title/tt2316868/,Canada,1945,$1.21M,"Nicolas Taymor Lee Hanson Leyburn Tammy Blanchard, Morgan Spector",1.0,T.S. Boone von Rocha Turner) Essex,Musician,Known,Eurasian,0.0,Female,"Bonnie West Law Derek Arthur, Kebede Whitelaw Sydow"
The Notorious Bettie Page,http://www.imdb.com/title/tt0432402/,US,1949,$89.7K,"Peter Bernhardt Randy Barbato Pulcini Tammy Blanchard, Morgan Spector",1.0,FrÌ©dÌ©ric Vetter Jung de Turner) Essex,Musician,Known,Hispanic (Latina),0.0,Female,"Andy Futterman Cusick Martin August, Austin Ellison Sydow"
Braveheart,http://www.imdb.com/title/tt0059742/,Canada/UK,2009,$315K,"Christine Mulligan Norman Weisman Leyburn Tammy Blanchard, Morgan Spector",2.0,Jeffrey Liston Nichols UK Scots Essex,Military,Known,,0.0,Female,"Russell Seyfried Damme Martin Kemp, Billie von Sydow"
Mr. Turner,http://www.imdb.com/title/tt0171804/,US/Canada,1980,$3.15K,"Edna Greenwald Caunes Glenn Bliss Tammy Blanchard, Morgan Spector",1.0,Andy Hess Grey de Peron Essex,Athlete,Known,White,0.0,Female,"Uma Woolard Phillips Kate Arthur, Billie von Sydow"
Blue,http://www.imdb.com/title/tt0091295/,US/UK/Canada,1935,$532K,"Peter Egoyan DeMille Hickner Leyburn Tammy Blanchard, Morgan Spector",1.2030413049180095,Beverly Lopez Muhammad Sweden of Essex,Artist,Known,Asian American,0.16332477897870695,Female,"Johnny Cornish Lucas, Jean Luke, Kebede Whitelaw Sydow"
The Great Moment,http://www.imdb.com/title/tt0067069/,UK,1920,$1.45M,"Tim Herskovitz Hayes, Robert Sokolov Tammy Blanchard, Morgan Spector",1.0,Dan Sellers de Leroy Peron Essex,Media,Unknown,Hispanic (White),0.0,Male,"Ewan Culkin Bernal Jean Kemp, Kebede Nichols Sydow"
I Love You Phillip Morris,http://www.imdb.com/title/tt0051849/,US/UK,1946,$97M,"Alexandre DuVernay Norman Friedman Leyburn Tammy Blanchard, Morgan Spector",1.0,Barry Gershwin Cent' Kyi Kid) Essex,Criminal,Unknown,Multi racial,0.0,Male,"Tony Griffiths Brown Derek Arthur, Billie von Sydow"
The Assassination of Trotsky,http://www.imdb.com/title/tt0048312/,Canada,1940,$365K,"Frank Muccino David Rosenberg Ford, Tammy Blanchard, Morgan Spector",4.0,Cherie Keller Gilbert Wead Turner) Essex,Academic,Unknown,Hispanic (Latino),0.0,Male,Mike Oyelowo and Kate Winslet Austin Nichols Sydow
The Invisible Woman,http://www.imdb.com/title/tt0029675/,US,1931,$10.1M,"Chris JoffÌÄå© Jeffrey Barbato Pulcini Tammy Blanchard, Morgan Spector",1.0,Nikki Trotsky Lee Smalls) Brasco) Essex,Singer,Unknown,Indian,0.0,Male,Joseph Sedgwick Medeiros Martin Winslet James (older) Sydow
Infinity,http://www.imdb.com/title/tt0106912/,Canada/UK,1946,$200K,"Bronwen Cuesta Randy Hanson Bliss Tammy Blanchard, Morgan Spector",2.0,Benjamin Etting Sousa Crane Kid) Essex,Other,Unknown,Hispanic (Latin American),0.0,Male,"Burt O'Neill Olmos and Kemp, Billie von Sydow"
The Red Baron,http://www.imdb.com/title/tt1850418/,US/Canada,1977,$109K,"Buzz Ivory Stuart Glenn Ford, Tammy Blanchard, Morgan Spector",1.0,Heinrich Hamill Cohan Caravaggio Peron Essex,Artist,Unknown,Middle Eastern,0.0,Male,"Lynn Jarman Peebles Kate Luke, Kebede Whitelaw Sydow"
Mesmer,http://www.imdb.com/title/tt0111756/,US/UK/Canada,1937,$1.32M,"Philippe Pollack Biesold, Satrapi Leyburn Tammy Blanchard, Morgan Spector",1.2309382970329839,Ritchie Rogers Coleridge of Brasco) Essex,Other,Unknown,Mediterranean,0.22503221134539206,Male,"Celyn Dafoe Olmos Martin Kemp, Austin (older) Sydow"
Mary of Scotland,http://www.imdb.com/title/tt0441007/,UK,2010,$83.3M,"Andrew Mamoulian Biesold, Trent Bliss Tammy Blanchard, Morgan Spector",1.0,Ernie Kenny Jinnah Donnie Peron Essex,Academic,Known,Caribbean,0.0,Female,"Alfred Jacobi Hoffman Derek August, Austin Nichols Sydow"
Swoon,http://www.imdb.com/title/tt0045296/,US/UK,1967,$4.6M,"Christine Nichols Refn Friedman Leyburn Tammy Blanchard, Morgan Spector",1.0,Manuel Plath Andersen Belaney) Parker) Essex,Military,Known,African,0.0,Female,Bradford Kilcher VolontÌ© Jean Liya Austin von Sydow
Frankie & Alice,http://www.imdb.com/title/tt0097457/,Canada,1942,$19.1K,"Gavin Mamoulian Wellman Satrapi Leyburn Tammy Blanchard, Morgan Spector",3.0,Omar Moretti PrÌ©-Finzi Anastasia of Essex,Other,Known,,0.0,Female,"TchÌ©ky Reagan Havilland and Arthur, Max Nichols Sydow"
The Night We Called It a Day,http://www.imdb.com/title/tt1850418/,US,2009,$66.6M,"Jean-Paul Kondracki Peebles Rosenberg Sokolov Tammy Blanchard, Morgan Spector",1.0,Neal Raymond Mitchell Caravaggio Kid) Essex,Athlete,Known,,0.0,Female,"Willem Cruz Robinson Derek August, Kebede von Sydow"
Hitchcock,http://www.imdb.com/title/tt0043949/,Canada/UK,1997,$340K,"Moustapha Faenza Sajbel Sykes Sokolov Tammy Blanchard, Morgan Spector",1.0,Gustav Sand Jones Richthofen Scots Essex,Military,Known,Asian,0.0,Female,"Georgina Robb Jordan Martin Kemp, James Ellison Sydow"
The Private Life of Henry VIII.,http://www.imdb.com/title/tt0044926/,US/Canada,1924,$364K,"Jim Herzog Martinson Barbato Ford, Tammy Blanchard, Morgan Spector",1.0,Myles Ruth MacGregor Aurore Parker) Essex,Military,Known,Eurasian,0.0,Female,"Esther Kidman Havilland Pernilla August, Max von Sydow"
Sunrise at Campobello,http://www.imdb.com/title/tt0443680/,US/UK/Canada,1980,$3.09M,"Lawrence Ficarra, McLaglen Pal Ford, Tammy Blanchard, Morgan Spector",1.0275756063204555,Herb Massi Alexander Kyi Kid) Essex,Academic,Known,,0.05780385602747384,Female,Julia Gooding and and Liya Austin (older) Sydow
Jim Thorpe -- All-American,http://www.imdb.com/title/tt0765429/,UK,1958,$7.56M,"Matthew Apted Donehue Solt Sokolov Tammy Blanchard, Morgan Spector",2.0,Karen Duncan Lewis Smalls) Parker) Essex,Historical,Unknown,African American,0.0,Male,"Stellan Radcliffe Niro Kate August, Kebede Nichols Sydow"
The Longshots,http://www.imdb.com/title/tt2473602/,US/UK,1953,$409K,"Lisa Clifford George Solt Pulcini Tammy Blanchard, Morgan Spector",2.0,Caveh Marshall Grey (Tina of Essex,Activist,Unknown,White,0.0,Male,"Joaquin Weston Burke Pernilla Arthur, Kebede (older) Sydow"
The Long Day Closes,http://www.imdb.com/title/tt0097336/,Canada,1930,$37.5M,"Bruce Anderson Jones Solt Bliss Tammy Blanchard, Morgan Spector",1.0,Mohammad Etting Nixon Kennedy Brasco) Essex,Other,Unknown,,0.0,Male,"Anthony Samuel Hoffman Derek Arthur, Billie Nichols Sydow"
Exodus: Gods and Kings,http://www.imdb.com/title/tt0040491/,US,1960,$44.3K,"Tommy Apted, Davenport Stanislav Bliss Tammy Blanchard, Morgan Spector",1.0,"Emily Kaysen ""Spig"" (Tina Scots Essex",Historical,Unknown,Hispanic (White),0.0,Male,"TchÌ©ky McCormack Carter Derek Luke, Austin Whitelaw Sydow"
Che!,http://www.imdb.com/title/tt0031826/,Canada/UK,1974,$31.8M,"Alfred T. Russell Friedman Bliss Tammy Blanchard, Morgan Spector",1.0,"Evel Brockovich ""Radio"" UK Peron Essex",Athlete,Unknown,Multi racial,0.0,Male,"Natalie G. Jones Derek August, Kebede Whitelaw Sydow"
Julie & Julia,http://www.imdb.com/title/tt0054847/,US/Canada,1918,$1.03M,"Bruce Bright Caunes Requa Ford, Tammy Blanchard, Morgan Spector",1.0,Jasmine Murphy (Billy Dennis Peron Essex,Musician,Unknown,Hispanic (Latino),0.0,Male,"Jamie Luke VolontÌ© Pernilla Arthur, Billie (older) Sydow"
The Story of Vernon and Irene Castle,http://www.imdb.com/title/tt0039035/,US/UK/Canada,1968,$21.1M,"Jack Lee Hancock Robert Sokolov Tammy Blanchard, Morgan Spector",1.2651382305387247,Pancho Williams Grey Anastasia Parker) Essex,Singer,Unknown,Indian,0.11553155025509806,Male,"Betty Winger Dillman and Arthur, Billie Ellison Sydow"
Beyond the Sea,http://www.imdb.com/title/tt0430308/,UK,1946,$86.7K,"Victor Leo, Donehue Weisman Pulcini Tammy Blanchard, Morgan Spector",1.0,Daniel Bahari Scott (Tina Turner) Essex,Singer,Known,Hispanic (Latin American),0.0,Female,"RenÌ©e Glen and Martin Kemp, Max von Sydow"
Lenny,http://www.imdb.com/title/tt0104797/,US/UK,1935,$1M,"Ericson Montgomery D'Sa, Glenn Ford, Tammy Blanchard, Morgan Spector",1.0,Ronald More Mitchell Kyi Jr. Essex,Criminal,Known,,0.0,Female,"Mario Murray Kemp, Martin Liya Billie von Sydow"
Lawrence of Arabia,http://www.imdb.com/title/tt0441007/,Canada,1941,$256M,"Niels Z. McLaglen Rosenberg Bliss Tammy Blanchard, Morgan Spector",1.0,"Frances Marcucci ""Spig"" Earl Peron Essex",Artist,Known,Mediterranean,0.0,Female,"Chadwick Hopkins Cusick Kate Luke, Max Ellison Sydow"
Al Capone,http://www.imdb.com/title/tt1196956/,US,1983,$13.8M,"Adrian Wajda Wash Requa Pulcini Tammy Blanchard, Morgan Spector",2.0,Temujin Pennant II Leroy Parker) Essex,Other,Known,Caribbean,0.0,Female,Macaulay Rhys Jr. Derek Winslet Max von Sydow
Mesrine Part 2: Public Enemy #1,http://www.imdb.com/title/tt0089052/,Canada/UK,1921,$223K,"Ted Demme Sant Requa Bliss Tammy Blanchard, Morgan Spector",1.0,Violette FranÌ¤ois Crane Jr Scots Essex,Military,Known,,0.0,Female,"Debra Jagger Bernal Pernilla Arthur, Austin Ellison Sydow"
The Prisoner of Shark Island,http://www.imdb.com/title/tt0962736/,US/Canada,1950,$9.49M,"Steven Vromen Norman Requa Pulcini Tammy Blanchard, Morgan Spector",1.0,Siegfried Villa Richtofen England Jr. Essex,Media,Known,Middle Eastern (White),0.0,Female,"Sissy Del VolontÌ© Martin Kemp, Billie Ellison Sydow"
Kid Cannabis,http://www.imdb.com/title/tt1104083/,US/UK/Canada,1927,$540K,"Art Cohen Jr. Trent Ford, Tammy Blanchard, Morgan Spector",1.1513435039385786,Woodrow Basquiat Bernstein Caravaggio Peron Essex,Medicine,Known,Native American,0.11868236241440416,Female,Ed Craig Lee Derek Winslet Austin (older) Sydow
Rosewater,http://www.imdb.com/title/tt0375104/,UK,1922,$4.47M,"H.C. Rudolph McLaglen Hanson Bliss Tammy Blanchard, Morgan Spector",2.0,Rose Basquiat Hollywood Menezes Kid) Essex,Historical,Unknown,Asian,0.0,Male,"Joaquin Oldman and Pernilla Kemp, Billie Whitelaw Sydow"
Walking Tall Part II,http://www.imdb.com/title/tt0438859/,US/UK,1994,$18.4M,"Melvin Young Peter Panama Bliss Tammy Blanchard, Morgan Spector",1.0,Jean-Dominique Bruce (Thaw) Richard Turner) Essex,Athlete,Unknown,Eurasian,0.0,Male,"Deborah Grace Le Kate Kemp, Austin (older) Sydow"
Louis Cyr,http://www.imdb.com/title/tt1802197/,Canada,1980,$6.39M,"Raoul Guenette Young Sarah-Violet Leyburn Tammy Blanchard, Morgan Spector",1.0,Abraham Likens of England Peron Essex,Actress,Unknown,Hispanic (Latina),0.0,Male,Faye Ifans Brown Pernilla Liya Billie (older) Sydow
Boys Town,http://www.imdb.com/title/tt0109707/,US,1985,$5.7M,"Agnieszka Bogdanovich Martinson Panama Bliss Tammy Blanchard, Morgan Spector",1.0,"Tsarina Ginsberg ""Spig"" Wead Peron Essex",Author,Unknown,African American,0.0,Male,"Frederic Norman FrÌÄå¦ler, Jean Winslet Kebede (older) Sydow"
Geronimo,http://www.imdb.com/title/tt0113987/,Canada/UK,1997,$49.1M,"Dudley Kulik Refn Weisman Leyburn Tammy Blanchard, Morgan Spector",1.0,Benjamin Bathory Hoover Munro Peron Essex,Other,Unknown,White,0.0,Male,Scott Knievel Jr Pernilla Liya Kebede Whitelaw Sydow
The Buddy Holly Story,http://www.imdb.com/title/tt0765429/,US/Canada,1947,$340K,"Gabriel Christian John Rosenberg Ford, Tammy Blanchard, Morgan Spector",1.0,Nathan Straight Mozart Adams Scots Essex,Athlete,Unknown,Asian American,0.0,Male,"Denzel Josh Havilland and Luke, Austin (older) Sydow"
Wired,http://www.imdb.com/title/tt0116635/,US/UK/Canada,1974,$12.7M,"Luc Wood Ruth Trent Leyburn Tammy Blanchard, Morgan Spector",1.104771299139736,June Keats Stroud Leroy Peron Essex,Musician,Unknown,Hispanic (White),0.19320972902132727,Male,"Virginia Sarandon Cooper, Martin Liya Max Whitelaw Sydow"
Total Eclipse,http://www.imdb.com/title/tt0055047/,UK,1925,$275K,"Karel Ashby Jr. Hanson Bliss Tammy Blanchard, Morgan Spector",1.0,"Selena Ruettiger Nixon Halsey, Peron Essex",Historical,Known,Multi racial,0.0,Female,Edward Jason Jordan Kate Liya Billie von Sydow
W.,http://www.imdb.com/title/tt0120001/,US/UK,2000,$49.5K,"Gene Coulter Wellman Requa Sokolov Tammy Blanchard, Morgan Spector",1.0,Afshin Rockne Roosevelt of Parker) Essex,Athlete,Known,,0.0,Female,Georgina Lupino and Kate Winslet Max (older) Sydow
Riding in Cars with Boys,http://www.imdb.com/title/tt0422029/,Canada,1929,$16.4M,"Roy Corman Mankiewicz Trent Pulcini Tammy Blanchard, Morgan Spector",1.0,"Marty Pienaar Rocket"" of Turner) Essex",Athlete,Known,Indian,0.0,Female,Emile Padalecki Law Martin Winslet Max Whitelaw Sydow
The Krays,http://www.imdb.com/title/tt1045772/,US,1943,$11.6M,"Alexandre Wyler Biesold, Weisman Ford, Tammy Blanchard, Morgan Spector",1.0,Martin Kidd York Richthofen Kid) Essex,Medicine,Known,Hispanic (Latin American),0.0,Female,Marion Lancaster Jordan Derek Liya Billie Whitelaw Sydow
Mishima: A Life in Four Chapters,http://www.imdb.com/title/tt0379725/,Canada/UK,1958,$102M,"Delmer Hawks D'Sa, Westmoreland Pulcini Tammy Blanchard, Morgan Spector",2.0,"Manuel Gabaldon Rawlings Halsey, Jr. Essex",Teacher,Known,Middle Eastern,0.0,Female,Benedict McQueen Nicholas Kate Liya Billie (older) Sydow
Jim Thorpe -- All-American,http://www.imdb.com/title/tt0028167/,US/Canada,1965,$450K,"Louis Lloyd Norman Weisman Ford, Tammy Blanchard, Morgan Spector",1.0,Eddie Bathory Crane Richthofen Peron Essex,Athlete,Known,Mediterranean,0.0,Female,"Brad Colbert Havilland and Luke, Kebede Nichols Sydow"
Without Limits,http://www.imdb.com/title/tt0109450/,US/UK/Canada,1942,$18.7M,"Steve Koster Leonard Robert Ford, Tammy Blanchard, Morgan Spector",1.3226394046588426,Frank ÌÉkerblom Rawlings UK Kid) Essex,Actor,Known,Caribbean,0.017576493549423904,Female,Ricci Page Wood and Liya Kebede (older) Sydow
Ed Wood,http://www.imdb.com/title/tt0116635/,UK,1938,$31M,"Glenn Michell Norman Rosenberg Bliss Tammy Blanchard, Morgan Spector",1.0,Elisabeth Zola Nichols Jackson Scots Essex,Other,Unknown,African,0.0,Male,"Donald Omar-Scego Robinson Kate Arthur, Max von Sydow"
Catch Me If You Can,http://www.imdb.com/title/tt0463998/,US/UK,1925,$42.6M,"Clint Haynes Green Hanson Bliss Tammy Blanchard, Morgan Spector",1.0,Georgiana Cobain (Billy Rocha Turner) Essex,Criminal,Unknown,Middle Eastern (White),0.0,Male,"Scott Quaid Havilland Derek August, Max Nichols Sydow"
Che: Part Two,http://www.imdb.com/title/tt0067069/,Canada,1927,$65.7K,"Phillip August Peebles Rosenberg Ford, Tammy Blanchard, Morgan Spector",2.0,Truman Churchill Toulouse-Lautrec Dennis Turner) Essex,Athlete,Unknown,,0.0,Male,Russell Faulkner Toro and Winslet Billie Whitelaw Sydow
When Did You Last See Your Father?,http://www.imdb.com/title/tt0210945/,US,2004,$2.23M,"Roland Bill Curtis Hickner Sokolov Tammy Blanchard, Morgan Spector",1.0,Evel MacArthur Kasso Crane Turner) Essex,Other,Unknown,,0.0,Male,Edie Baxter Le Pernilla Liya Austin von Sydow
El Cid,http://www.imdb.com/title/tt0070666/,Canada/UK,1954,$31.6M,"Pat Levinson Olmos Rosenberg Leyburn Tammy Blanchard, Morgan Spector",2.0,Rembrandt Laing Carter de of Essex,Athlete,Unknown,Eurasian,0.0,Male,"Johnny Merriman Cusick Pernilla August, Max von Sydow"
Breach,http://www.imdb.com/title/tt0055798/,US/Canada,1916,$21.8K,"Marshall Kalvert SchrÌ¦der Barbato Pulcini Tammy Blanchard, Morgan Spector",1.0,Jackie Phillips Bell Leroy of Essex,Other,Unknown,Hispanic (Latina),0.0,Male,"Kristopher Alda Cooper, Derek August, Austin Whitelaw Sydow"
Jersey Boys,http://www.imdb.com/title/tt0422720/,US/UK/Canada,2007,$37.9M,"William Sirk McLaglen Weisman Ford, Tammy Blanchard, Morgan Spector",1.2006083769651694,Philomena Hendrix Custer Kyi Turner) Essex,Other,Unknown,African American,0.03171356456554228,Male,"Larry O'Neill VolontÌ© Kate Kemp, James von Sydow"
PiÌ±ero,http://www.imdb.com/title/tt0095243/,UK,1936,$2.83M,"Billy Lapine Biesold, Trent Sokolov Tammy Blanchard, Morgan Spector",1.0,Heinrich Child Suu Jr Turner) Essex,Author (poet),Known,,0.0,Female,"Trent Harris Olmos Derek August, Billie Whitelaw Sydow"
The Social Network,http://www.imdb.com/title/tt1057500/,US/UK,1974,$50.7M,"Mario Raymond With: Solt Leyburn Tammy Blanchard, Morgan Spector",1.0,"Julian Guevara ""Bob"" Richard Brasco) Essex",Activist,Known,,0.0,Female,"Warren Walker Carter Jean August, James von Sydow"
The Whistleblower,http://www.imdb.com/title/tt1629757/,Canada,1954,$47M,"Dudley Taylor John Westmoreland Leyburn Tammy Blanchard, Morgan Spector",1.0,Dalai George Sousa UK of Essex,Other,Known,Hispanic (White),0.0,Female,Mariel Malkovich Brown Pernilla Liya Austin Whitelaw Sydow
Beau Brummell,http://www.imdb.com/title/tt0097457/,US,1977,$777K,"Marshall Scott Curtis Rosenberg Sokolov Tammy Blanchard, Morgan Spector",1.0,Agnes Mahler O'Keefe Jackson Brasco) Essex,Criminal,Known,,0.0,Female,Bonnie Quinn Hoffman Pernilla Liya Billie Ellison Sydow
The Five Pennies,http://www.imdb.com/title/tt0108551/,Canada/UK,2011,$16.8M,"Rob Millar Davenport Panama Sokolov Tammy Blanchard, Morgan Spector",2.0,Jacqueline Packer Soubirous Aurore Peron Essex,Historical,Known,Hispanic (Latino),0.0,Female,"Judi Cheadle Peebles Pernilla Luke, Kebede Nichols Sydow"
The Unsinkable Molly Brown,http://www.imdb.com/title/tt1130964/,US/Canada,1980,$20.2M,"Geoffrey McNamara With: Solt Bliss Tammy Blanchard, Morgan Spector",1.0,Amedeo Keller York Assisi Peron Essex,Other,Known,Indian,0.0,Female,"Myles Karyo Nicholas Kate Kemp, Kebede Ellison Sydow"
Jimi: All Is by My Side,http://www.imdb.com/title/tt0089420/,US/UK/Canada,1948,$81.2M,"Irwin Ashby Wash Barbato Bliss Tammy Blanchard, Morgan Spector",1.0352926337758728,Lon Chopin (Biggie the Scots Essex,Criminal,Known,,0.023805958152962287,Female,"Karlheinz Liotta Cusick Kate August, James von Sydow"
