Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
plymouth valiant,22.7,6,91.0,86,3333,17.0,1982-01-01,USA
volkswagen scirocco,24.9,4,151.0,66,1902,15.1,1982-01-01,Europe
honda Accelerationord,27.7,5,125.0,85,2586,11.3,1982-01-01,Japan
subaru dl,28.4,3,97.0,76,2291,16.9,1982-01-01,Japan
ford galaxie 500,41.5,5,119.0,69,3437,11.9,1982-01-01,USA
chevrolet malibu,31.4,7,190.0,82,3514,21.5,1982-01-01,USA
chevrolet chevelle concours (sw),31.4,6,83.0,94,4273,15.8,1982-01-01,USA
plymouth satellite custom (sw),32.5,4,86.0,75,3078,12.9,1982-01-01,USA
peugeot 504,29.3,4,109.0,59,4027,15.7,1982-01-01,Europe
vokswagen rabbit,33.2,4,95.0,78,1917,13.8,1982-01-01,Europe
chevrolet caprice classic,23.0,5,191.0,106,2360,14.1,1982-01-01,USA
chevrolet chevelle malibu,28.0,6,96.0,80,3313,19.2,1982-01-01,USA
amc ambassador dpl,34.3,8,105.0,75,4284,12.7,1982-01-01,USA
amc spirit dl,37.4,7,115.0,63,3419,14.8,1982-01-01,USA
dodge aries se,35.0,5,192.0,75,3042,13.6,1982-01-01,USA
vw dasher (diesel),23.5,4,229.0,111,1861,19.5,1982-01-01,Europe
chevrolet nova,26.3,7,100.0,94,3509,13.1,1982-01-01,USA
saab 99gle,32.2,4,455.0,81,3090,13.3,1982-01-01,Europe
ford country squire (sw),29.2,4,102.0,63,3919,20.8,1982-01-01,USA
dodge colt hardtop,35.8,7,94.0,92,3990,14.7,1982-01-01,USA
amc matador (sw),34.0,7,103.0,72,3864,17.1,1982-01-01,USA
ford fiesta,26.0,7,99.0,75,4717,13.5,1982-01-01,USA
amc matador,36.7,6,83.0,94,3780,16.1,1982-01-01,USA
triumph tr7 coupe,32.7,5,129.0,48,1833,10.6,1982-01-01,Europe
chevrolet vega,42.7,8,162.0,70,2339,10.7,1982-01-01,USA
honda civic cvcc,35.4,4,314.0,75,2134,12.9,1982-01-01,Japan
oldsmobile vista cruiser,26.3,7,83.0,79,3016,14.0,1982-01-01,USA
ford gran torino,,4,86.0,59,3691,20.1,1982-01-01,USA
datsun 200-sx,35.8,4,130.0,68,3131,18.5,1982-01-01,Japan
mercedes benz 300d,27.5,4,116.0,91,1949,14.3,1982-01-01,Europe
renault lecar deluxe,31.0,4,101.0,69,4825,11.7,1982-01-01,Europe
subaru,28.2,5,285.0,76,2363,13.3,1982-01-01,Japan
honda civic (auto),27.9,4,254.0,71,2541,14.5,1982-01-01,Japan
plymouth sapporo,28.1,5,181.0,67,3922,15.5,1982-01-01,USA
volkswagen jetta,28.9,4,217.0,117,2188,12.6,1982-01-01,Europe
fiat x1.9,32.7,4,88.0,75,1983,12.1,1982-01-01,Europe
plymouth grand fury,27.6,5,128.0,69,2462,13.6,1982-01-01,USA
oldsmobile cutlass ciera (diesel),36.4,7,290.0,78,2981,12.7,1982-01-01,USA
toyota celica gt,38.5,5,112.0,59,2301,16.7,1982-01-01,Japan
toyota corolla,39.2,4,81.0,67,2452,15.5,1982-01-01,Japan
ford escort 2h,30.5,5,144.0,133,2049,15.3,1982-01-01,USA
