RespondentID,"Consider the following hypothetical situations: <br>In Lottery A, you have a 50% chance of success, with a payout of $100. <br>In Lottery B, you have a 90% chance of success, with a payout of $20. <br><br>Assuming you have $10 to bet, would you play Lottery A or Lottery B?",Do you ever smoke cigarettes?,Do you ever drink alcohol?,Do you ever gamble?,Have you ever been skydiving?,Do you ever drive above the speed limit?,Have you ever cheated on your significant other?,Do you eat steak?,How do you like your steak prepared?,Gender,Age,Household Income,Education,Location (Census Region)
3234843761,Lottery B,No,Yes,Yes,No,Yes,No,,,Female,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234843283,Lottery B,No,Yes,Yes,No,Yes,No,,,Female,45-60,"$50,000 - $99,999",Bachelor degree,New England
3234842756,Lottery A,,No,No,Yes,Yes,No,,Response	Response,Female,30-44,"$25,000 - $49,999",Graduate degree,New England
3234842600,Lottery A,,Yes,Yes,No,Yes,No,,Medium rare	Yes,Male,30-44,,Graduate degree,South Atlantic
3234842404,Lottery A,Yes,Yes,Yes,No,Yes,,,Medium	Yes,Male,30-44,"$25,000 - $49,999",Graduate degree,East North Central
3234841566,Lottery A,No,Yes,No,No,Yes,Yes,,,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central
3234841125,Lottery B,Yes,Yes,,No,Yes,No,,Response	Response,Female,30-44,"$0 - $24,999",Response,Mountain
3234840913,Lottery A,No,No,Yes,No,No,No,,Response	Response,Male,45-60,,Bachelor degree,New England
3234840626,Lottery A,No,Yes,Yes,No,Yes,Yes,,,Male,> 60,"$50,000 - $99,999",,Mountain
3234840420,Lottery B,No,No,No,No,Yes,No,,,Female,18-29,"$150,000+",Bachelor degree,South Atlantic
3234840315,Lottery A,No,Yes,No,No,Yes,Yes,,Rare	Yes,Female,18-29,"$0 - $24,999",Some college or Associate degree,West North Central
3234839994,Lottery A,No,Yes,No,No,Yes,No,,Response	Response,Male,30-44,,Bachelor degree,South Atlantic
3234839638,Lottery B,No,Yes,Yes,No,Yes,No,,Rare	Yes,Female,45-60,"$0 - $24,999",Some college or Associate degree,East North Central
3234839579,Lottery B,No,Yes,Yes,No,,No,,Medium Well	Yes,Male,> 60,"$150,000+",Some college or Associate degree,Pacific
3234839046,Lottery B,No,Yes,No,Yes,No,No,,Medium Well	Yes,Male,18-29,"$0 - $24,999",Bachelor degree,Pacific
3234838133,Lottery B,No,No,No,No,No,No,,Well	Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234838060,Lottery B,No,Yes,Yes,No,Yes,No,,,Female,18-29,,,East North Central
3234837855,Lottery B,No,Yes,No,No,,No,,Medium Well	Yes,Female,,"$25,000 - $49,999",Bachelor degree,Pacific
3234836259,Lottery A,No,Yes,No,No,Yes,No,,Medium Well	Yes,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234836009,Lottery A,No,Yes,No,Yes,Yes,No,,Medium	Yes,Male,18-29,"$100,000 - $149,999",,East North Central
3234835518,Lottery A,No,Yes,Yes,No,Yes,No,,Response	Response,Male,18-29,"$0 - $24,999",Some college or Associate degree,East North Central
3234835206,Lottery B,Yes,Yes,No,No,Yes,No,,Rare	Yes,Male,45-60,"$0 - $24,999",Some college or Associate degree,East North Central
3234835205,Lottery B,Yes,No,No,No,,Yes,,Well	Yes,Female,> 60,"$0 - $24,999",Graduate degree,Middle Atlantic
3234834902,Lottery A,Yes,Yes,Yes,No,Yes,No,,Rare	Yes,Female,18-29,"$0 - $24,999",Graduate degree,Pacific
3234834148,Lottery B,No,No,No,No,Yes,No,,,Female,18-29,"$100,000 - $149,999",Bachelor degree,Pacific
3234833932,Lottery A,No,No,No,No,Yes,No,,Medium Well	Yes,Female,30-44,"$150,000+",Graduate degree,East North Central
3234833346,Lottery B,Yes,Yes,Yes,No,Yes,Yes,,Medium	Yes,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central
3234832089,Lottery B,No,Yes,Yes,No,Yes,No,,Medium	Yes,Female,30-44,"$150,000+",Bachelor degree,East North Central
3234831465,Lottery B,No,No,No,Yes,No,No,,Medium Well	Yes,Female,18-29,,Some college or Associate degree,Mountain
3234831373,Lottery B,Yes,Yes,No,No,Yes,No,,Well	Yes,Female,> 60,"$25,000 - $49,999",High school degree,East North Central
3234831096,Lottery A,No,No,No,No,Yes,No,,,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
3234830915,Lottery A,No,Yes,Yes,No,Yes,No,,Rare	Yes,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234830749,Lottery A,No,No,No,No,Yes,No,,Medium	Yes,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,New England
3234830734,Lottery B,Yes,Yes,No,No,Yes,No,,Medium rare	Yes,Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central
3234830393,Lottery B,Yes,,No,No,Yes,No,,Response	Response,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234829922,Lottery B,No,Yes,Yes,No,Yes,No,,Medium	Yes,Female,> 60,"$100,000 - $149,999",Bachelor degree,East North Central
3234829663,Lottery B,No,No,No,No,Yes,No,,Response	Response,Male,30-44,"$0 - $24,999",Bachelor degree,West North Central
3234829236,Lottery A,No,Yes,Yes,No,Yes,No,,Well	Yes,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234829210,Lottery B,No,Yes,Yes,No,No,No,,Response	Response,Male,45-60,"$150,000+",Bachelor degree,Pacific
3234828905,Lottery A,,Yes,No,No,Yes,No,,Rare	Yes,Male,30-44,,Some college or Associate degree,East North Central
3234828746,Lottery A,No,Yes,No,No,Yes,Yes,,Response	Response,Male,18-29,"$100,000 - $149,999",Bachelor degree,Pacific
3234828472,Lottery B,Yes,Yes,Yes,No,Yes,No,,Well	Yes,Male,30-44,,Bachelor degree,West North Central
3234827692,Lottery A,No,Yes,Yes,No,Yes,No,,Well	Yes,Female,30-44,"$50,000 - $99,999",Graduate degree,Mountain
3234826769,Lottery B,No,Yes,No,No,Yes,No,,Medium	Yes,Female,> 60,,,
3234826736,Lottery A,No,No,Yes,No,,No,,Response	Response,Male,30-44,,Bachelor degree,Middle Atlantic
3234826159,Lottery A,No,No,No,No,Yes,No,,Rare	Yes,Female,30-44,,High school degree,East North Central
3234826044,Lottery B,Yes,Yes,,No,Yes,No,,Response	Response,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,
3234826028,Lottery A,No,No,No,No,Yes,No,,Response	Response,Female,30-44,"$50,000 - $99,999",Graduate degree,New England
3234825281,Lottery B,No,No,Yes,No,Yes,No,,Medium Well	Yes,Female,> 60,"$150,000+",Bachelor degree,East North Central
3234825158,Lottery A,No,Yes,No,No,No,No,,Medium rare	Yes,Female,> 60,"$150,000+",Graduate degree,East North Central
3234824510,Lottery A,No,Yes,No,,Yes,No,,Medium	Yes,Male,> 60,"$25,000 - $49,999",Graduate degree,
3234824472,Lottery A,No,Yes,Yes,No,Yes,No,,Medium	Yes,Female,30-44,,Bachelor degree,Mountain
3234824275,Lottery B,No,No,,No,Yes,No,,Medium rare	Yes,Female,30-44,"$25,000 - $49,999",Bachelor degree,
3234824085,Lottery A,No,No,Yes,No,Yes,No,,Medium Well	Yes,Female,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
3234823811,Lottery B,No,No,No,No,Yes,No,,,Male,45-60,,Bachelor degree,
3234823286,Lottery B,Yes,Yes,Yes,No,Yes,No,,,Male,45-60,,Some college or Associate degree,Middle Atlantic
3234822886,Lottery B,,Yes,No,No,Yes,Yes,,Well	Yes,Female,45-60,"$150,000+",Bachelor degree,New England
3234822687,Lottery B,Yes,,No,No,Yes,No,,Medium	Yes,Male,30-44,"$25,000 - $49,999",Bachelor degree,West South Central
3234822478,Lottery B,No,Yes,No,No,Yes,No,,Medium Well	Yes,Female,> 60,,Some college or Associate degree,New England
3234822333,Lottery A,No,Yes,Yes,No,Yes,No,,Medium	Yes,Female,45-60,"$50,000 - $99,999",Less than high school degree,South Atlantic
3234822289,Lottery A,No,Yes,No,No,Yes,Yes,,,Male,45-60,"$50,000 - $99,999",Graduate degree,West South Central
3234822215,Lottery B,No,Yes,Yes,No,Yes,Yes,,Medium rare	Yes,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central
3234822183,Lottery A,Yes,No,No,No,Yes,No,,Medium rare	Yes,Male,> 60,"$100,000 - $149,999",Graduate degree,West South Central
3234821796,Lottery A,No,Yes,No,No,No,No,,Well	Yes,Male,45-60,"$50,000 - $99,999",Bachelor degree,
3234821735,Lottery A,No,Yes,Yes,Yes,Yes,No,,Medium	Yes,Male,18-29,,Some college or Associate degree,Mountain
3234821433,Lottery A,No,Yes,No,No,Yes,No,,Well	Yes,Male,30-44,"$100,000 - $149,999",,West North Central
3234821006,Lottery A,No,Yes,No,No,Yes,No,,Well	Yes,Female,45-60,"$50,000 - $99,999",,Pacific
3234820776,Lottery B,No,No,No,No,Yes,No,,Rare	Yes,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3234820709,Lottery A,No,No,No,,Yes,No,,Medium	Yes,Male,,,Graduate degree,West North Central
3234819811,Lottery A,No,Yes,Yes,Yes,Yes,No,,Medium	Yes,Male,,,Bachelor degree,West North Central
3234819772,Lottery A,No,Yes,No,Yes,Yes,No,,Rare	Yes,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3234819562,Lottery A,No,Yes,Yes,Yes,Yes,No,,Medium	Yes,,> 60,"$100,000 - $149,999",High school degree,South Atlantic
3234819551,Lottery A,Yes,Yes,No,No,Yes,No,,Well	Yes,Female,45-60,,Some college or Associate degree,West North Central
3234819372,Lottery B,No,Yes,Yes,No,Yes,Yes,,Rare	Yes,Female,30-44,"$50,000 - $99,999",Bachelor degree,West South Central
3234818621,Lottery A,,Yes,Yes,No,Yes,No,,Medium	Yes,Male,45-60,,Graduate degree,East North Central
3234818531,Lottery B,Yes,Yes,Yes,No,No,Yes,,Medium Well	Yes,,,"$25,000 - $49,999",Some college or Associate degree,Mountain
3234818440,Lottery A,Yes,Yes,Yes,No,Yes,No,,Medium rare	Yes,Male,30-44,"$50,000 - $99,999",High school degree,East North Central
3234817895,Lottery B,Yes,Yes,Yes,No,Yes,Yes,,,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234816991,Lottery A,No,No,Yes,No,Yes,No,,Well	Yes,Male,30-44,"$0 - $24,999",Graduate degree,Middle Atlantic
3234816926,Lottery B,No,No,,No,Yes,No,,Medium rare	Yes,Female,> 60,"$25,000 - $49,999",High school degree,East South Central
3234816912,Lottery A,No,No,No,No,No,No,,Response	Response,Male,45-60,,Graduate degree,South Atlantic
3234816749,Lottery A,No,No,No,No,No,No,,,,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3234816737,Lottery B,Yes,No,No,No,,No,,Rare	Yes,Female,18-29,"$50,000 - $99,999",High school degree,South Atlantic
3234816049,Lottery A,No,Yes,Yes,No,No,No,,Well	Yes,Male,18-29,"$0 - $24,999",Some college or Associate degree,New England
3234816004,Lottery A,No,Yes,Yes,No,Yes,No,,,Male,18-29,"$0 - $24,999",Bachelor degree,West North Central
3234815713,Lottery A,No,Yes,No,No,Yes,No,,,,> 60,,Some college or Associate degree,New England
3234815610,Lottery B,No,Yes,No,No,Yes,Yes,,Well	Yes,Female,,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234815434,Lottery A,No,No,No,No,Yes,No,,Rare	Yes,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234815368,Lottery A,No,Yes,No,No,Yes,No,,Medium	Yes,Male,45-60,"$50,000 - $99,999",Bachelor degree,East South Central
3234815310,Lottery A,No,Yes,Yes,No,Yes,No,,,Male,18-29,"$50,000 - $99,999",,South Atlantic
3234815002,Lottery B,No,No,Yes,No,Yes,Yes,,,Female,45-60,"$150,000+",Graduate degree,Middle Atlantic
3234814999,Lottery B,No,No,Yes,No,Yes,No,,,Female,> 60,"$25,000 - $49,999",Bachelor degree,Pacific
3234812944,Lottery B,No,Yes,No,No,Yes,Yes,,,Male,> 60,,Some college or Associate degree,South Atlantic
3234812612,Lottery B,No,No,Yes,No,Yes,No,,Medium	Yes,Female,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
3234812499,Lottery B,No,Yes,No,No,Yes,No,,,,30-44,"$50,000 - $99,999",Graduate degree,Mountain
3234812404,Lottery B,Yes,No,Yes,No,Yes,No,,,Male,30-44,"$100,000 - $149,999",Graduate degree,West South Central
3234812267,Lottery A,No,No,No,No,Yes,Yes,,Medium	Yes,Female,30-44,"$100,000 - $149,999",Graduate degree,New England
3234812038,Lottery B,,Yes,No,No,Yes,No,,Well	Yes,Female,> 60,"$100,000 - $149,999",Graduate degree,East North Central
3234811748,Lottery B,No,Yes,Yes,No,Yes,No,,,Male,,"$25,000 - $49,999",Some college or Associate degree,West South Central
3234811668,Lottery B,No,No,Yes,No,Yes,No,,Well	Yes,Female,45-60,"$50,000 - $99,999",High school degree,East North Central
3234811481,Lottery A,No,Yes,No,No,No,No,,Well	Yes,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central
3234810941,Lottery A,No,Yes,No,No,Yes,No,,,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central
3234809985,Lottery A,No,Yes,No,No,Yes,,,Medium Well	Yes,Male,> 60,,Graduate degree,Pacific
3234809927,Lottery A,No,No,Yes,No,Yes,No,,Medium	Yes,,,"$100,000 - $149,999",Some college or Associate degree,East South Central
3234809862,Lottery B,Yes,Yes,Yes,No,Yes,No,,Response	Response,Male,30-44,,Graduate degree,Middle Atlantic
3234809862,Lottery A,No,No,,No,Yes,No,,Rare	Yes,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234809799,Lottery B,Yes,No,No,No,No,No,,Rare	Yes,Female,18-29,"$150,000+",Bachelor degree,New England
3234809769,Lottery B,No,Yes,Yes,No,Yes,No,,Response	Response,Male,> 60,,Some college or Associate degree,West South Central
3234809561,Lottery A,No,No,Yes,No,No,No,,Response	Response,,45-60,,Graduate degree,East North Central
3234809351,Lottery B,No,Yes,Yes,No,Yes,No,,,Female,,"$100,000 - $149,999",Bachelor degree,East North Central
3234809004,Lottery A,Yes,Yes,No,No,Yes,No,,Response	Response,Female,30-44,,Bachelor degree,Middle Atlantic
3234808953,Lottery A,No,Yes,No,No,Yes,No,,Medium Well	Yes,Female,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
3234808750,Lottery A,No,Yes,No,No,Yes,,,Medium rare	Yes,Male,30-44,,Bachelor degree,Middle Atlantic
3234808672,Lottery A,No,Yes,No,No,Yes,No,,Medium rare	Yes,Female,30-44,,Some college or Associate degree,Middle Atlantic
3234807983,Lottery A,No,Yes,Yes,,Yes,No,,Rare	Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234807862,Lottery B,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Female,30-44,,Bachelor degree,East North Central
3234806895,Lottery A,Yes,Yes,No,No,Yes,No,,Well	Yes,Male,> 60,"$0 - $24,999",High school degree,South Atlantic
3234806532,Lottery A,No,No,,No,Yes,No,,Medium	Yes,Female,18-29,"$100,000 - $149,999",Bachelor degree,East North Central
3234806501,Lottery B,No,Yes,No,No,,No,,,Male,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
3234805641,Lottery B,No,Yes,No,No,Yes,Yes,,Rare	Yes,Male,45-60,"$25,000 - $49,999",Graduate degree,East North Central
3234805478,Lottery B,No,Yes,No,No,Yes,Yes,,Medium Well	Yes,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
3234805377,Lottery B,No,Yes,Yes,No,Yes,No,,Well	Yes,Female,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3234805183,Lottery B,Yes,Yes,Yes,No,Yes,No,,,Female,> 60,,Some college or Associate degree,South Atlantic
3234805037,Lottery B,No,Yes,,No,Yes,No,,Medium	Yes,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
3234804546,Lottery B,No,Yes,Yes,No,Yes,No,,Response	Response,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3234804538,Lottery A,No,No,No,No,Yes,No,,Medium rare	Yes,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3234804391,Lottery A,No,No,Yes,No,Yes,No,,Medium rare	Yes,Female,> 60,,Some college or Associate degree,South Atlantic
3234803908,Lottery A,No,No,Yes,No,Yes,No,,,Female,45-60,,Some college or Associate degree,East North Central
3234803194,Lottery A,No,Yes,Yes,No,Yes,No,,Response	Response,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central
3234803004,Lottery A,No,Yes,Yes,No,No,No,,,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3234802721,Lottery A,No,Yes,No,No,Yes,No,,Well	Yes,Female,> 60,,Some college or Associate degree,Mountain
3234802456,Lottery B,No,Yes,Yes,No,Yes,No,,,Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234802393,Lottery B,No,Yes,No,No,Yes,No,,Medium Well	Yes,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
3234801761,Lottery B,No,Yes,Yes,No,No,No,,Response	Response,,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234800857,Lottery B,No,Yes,,No,Yes,No,,Rare	Yes,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East South Central
3234800796,Lottery B,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Male,45-60,,Bachelor degree,West South Central
3234800492,Lottery A,No,Yes,Yes,No,,No,,,Male,18-29,"$0 - $24,999",Bachelor degree,South Atlantic
3234800283,Lottery A,Yes,Yes,No,No,Yes,No,,,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234800229,Lottery B,No,Yes,No,No,Yes,No,,Medium rare	Yes,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
3234800119,Lottery B,No,Yes,No,No,Yes,No,,Response	Response,Male,30-44,,Some college or Associate degree,Pacific
3234799750,Lottery B,No,Yes,No,No,Yes,No,,Rare	Yes,Male,45-60,"$0 - $24,999",Bachelor degree,
3234799536,Lottery B,No,Yes,Yes,No,Yes,Yes,,,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3234799467,Lottery B,,Yes,Yes,No,No,No,,,Female,45-60,,Graduate degree,Pacific
3234798647,Lottery A,No,Yes,No,No,Yes,Yes,,Medium	Yes,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,Mountain
3234798579,Lottery A,No,Yes,No,No,No,No,,,Male,18-29,"$100,000 - $149,999",Bachelor degree,Pacific
3234798528,Lottery A,Yes,No,Yes,No,No,No,,Response	Response,Male,45-60,,Bachelor degree,
3234798119,Lottery A,Yes,Yes,Yes,No,Yes,No,,Medium	Yes,Male,30-44,,Some college or Associate degree,Pacific
3234798080,Lottery A,No,Yes,No,No,Yes,Yes,,Response	Response,Male,> 60,,,Middle Atlantic
3234797988,Lottery A,No,No,Yes,No,Yes,No,,,Male,45-60,"$150,000+",Bachelor degree,South Atlantic
3234797636,Lottery A,Yes,Yes,No,No,Yes,No,,Response	Response,Female,45-60,,Some college or Associate degree,East North Central
3234797322,Lottery A,No,Yes,No,No,Yes,No,,Response	Response,Female,30-44,"$0 - $24,999",Some college or Associate degree,South Atlantic
3234797183,Lottery B,No,Yes,No,No,Yes,No,,Medium	Yes,Male,18-29,,Bachelor degree,West South Central
3234797081,Lottery B,No,No,No,No,No,No,,Rare	Yes,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3234796697,Lottery A,No,Yes,No,No,Yes,No,,Well	Yes,Female,30-44,"$0 - $24,999",Graduate degree,South Atlantic
3234796404,Lottery A,No,Yes,Yes,No,Yes,No,,Medium	Yes,Male,> 60,"$25,000 - $49,999",Graduate degree,West South Central
3234796398,Lottery A,No,Yes,No,No,Yes,Yes,,Medium Well	Yes,,> 60,"$25,000 - $49,999",,South Atlantic
3234796195,Lottery B,No,Yes,Response,No,Yes,No,,Response	Response,Female,> 60,,Bachelor degree,Middle Atlantic
3234795944,Lottery B,No,No,Yes,No,Yes,No,,Well	Yes,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
3234795570,Lottery B,No,Yes,Yes,No,,No,,Well	Yes,Female,45-60,"$0 - $24,999",Bachelor degree,South Atlantic
3234795335,Lottery B,No,Yes,No,No,No,Yes,,Rare	Yes,Female,45-60,"$0 - $24,999",Graduate degree,South Atlantic
3234795311,Lottery B,,Yes,Yes,No,Yes,No,,Response	Response,Female,45-60,"$25,000 - $49,999",Bachelor degree,East North Central
3234794325,Lottery A,No,Yes,No,No,Yes,Yes,,Well	Yes,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234794238,Lottery B,No,Yes,Yes,No,Yes,No,,,Male,45-60,"$150,000+",Bachelor degree,South Atlantic
3234794129,Lottery A,No,No,No,No,Yes,No,,Medium	Yes,Female,45-60,,Graduate degree,Pacific
3234794115,Lottery B,No,Yes,Yes,No,Yes,Yes,,Response	Response,Male,30-44,,Graduate degree,
3234794074,Lottery A,No,Yes,No,Yes,Yes,Yes,,Well	Yes,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234794005,Lottery A,Yes,Yes,No,No,Yes,Yes,,Medium rare	Yes,Female,> 60,"$50,000 - $99,999",Graduate degree,
3234793759,Lottery A,,Yes,Yes,No,No,No,,Rare	Yes,Male,18-29,"$0 - $24,999",Some college or Associate degree,East North Central
3234793322,Lottery B,No,Yes,No,No,Yes,No,,Rare	Yes,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234793196,Lottery B,Yes,Yes,Yes,No,Yes,No,,,Male,> 60,,,East North Central
3234793134,Lottery A,No,Yes,Yes,No,Yes,No,,,,45-60,"$50,000 - $99,999",Some college or Associate degree,East South Central
3234792969,Lottery A,No,Yes,Yes,No,Yes,No,,Medium rare	Yes,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England
3234792707,Lottery B,No,Yes,No,No,No,No,,Rare	Yes,,18-29,"$150,000+",Graduate degree,New England
3234792039,Lottery B,No,Yes,No,No,No,No,,Rare	Yes,Male,18-29,"$100,000 - $149,999",Bachelor degree,Pacific
3234791872,Lottery B,No,Yes,Yes,No,Yes,No,,Rare	Yes,Female,45-60,"$50,000 - $99,999",,West North Central
3234791760,Lottery A,No,Yes,Yes,Yes,Yes,No,,Response	Response,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,New England
3234791553,Lottery A,No,Yes,No,No,Yes,No,,Medium rare	Yes,Female,18-29,"$150,000+",Bachelor degree,South Atlantic
3234791389,Lottery B,No,No,No,No,Yes,No,,Medium rare	Yes,Male,18-29,"$50,000 - $99,999",High school degree,Middle Atlantic
3234791201,Lottery A,No,Yes,Yes,No,Yes,No,,Response	Response,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central
3234791148,Lottery A,No,Yes,No,No,Yes,No,,Well	Yes,Male,> 60,,Some college or Associate degree,South Atlantic
3234790900,Lottery B,Yes,No,No,Yes,Yes,No,,,Female,45-60,,,West North Central
3234790814,Lottery B,No,No,Yes,No,Yes,No,,Well	Yes,Male,18-29,"$100,000 - $149,999",Graduate degree,
3234790748,Lottery B,No,Yes,Yes,No,No,No,,Well	Yes,Male,18-29,,Bachelor degree,West North Central
3234789765,Lottery A,No,No,Yes,No,Yes,,,Rare	Yes,Male,18-29,"$100,000 - $149,999",Graduate degree,New England
3234789732,Lottery B,No,,No,No,Yes,No,,,Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
3234788950,Lottery B,No,Yes,No,No,Yes,No,,Well	Yes,Male,30-44,"$0 - $24,999",Bachelor degree,South Atlantic
3234788805,Lottery B,No,Yes,Yes,No,Yes,No,,Well	Yes,Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific
3234788687,Lottery A,Yes,Yes,Yes,No,Yes,Yes,,Medium rare	Yes,Female,> 60,"$150,000+",Graduate degree,Middle Atlantic
3234788560,Lottery A,No,Yes,No,No,Yes,No,,Medium Well	Yes,,> 60,"$50,000 - $99,999",,East North Central
3234788532,Lottery A,Yes,Yes,Yes,No,Yes,No,,Rare	Yes,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central
3234788474,Lottery B,No,Yes,Yes,No,No,No,,Medium Well	Yes,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
3234788355,Lottery B,No,Yes,No,No,Yes,No,,,Female,> 60,"$0 - $24,999",Graduate degree,West South Central
3234788104,Lottery B,No,Yes,Yes,No,Yes,No,,Rare	Yes,Female,30-44,"$50,000 - $99,999",Graduate degree,West North Central
3234788075,Lottery B,No,Yes,No,No,Yes,No,,Response	Response,Male,> 60,"$100,000 - $149,999",Bachelor degree,South Atlantic
3234788071,Lottery B,No,Yes,Yes,No,Yes,No,,,Male,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
3234788024,Lottery B,No,Yes,Yes,No,,No,,Medium Well	Yes,Female,45-60,"$100,000 - $149,999",Bachelor degree,West North Central
3234787056,Lottery A,Yes,No,No,Yes,Yes,No,,Response	Response,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
3234786686,Lottery B,No,Yes,Yes,No,Yes,No,,Response	Response,Female,45-60,,Bachelor degree,Middle Atlantic
3234786584,Lottery B,No,Yes,No,No,Yes,No,,,Female,30-44,,Bachelor degree,Pacific
3234785946,Lottery A,No,Yes,Yes,No,Yes,No,,Well	Yes,Female,> 60,"$0 - $24,999",Graduate degree,East North Central
3234785710,Lottery B,Yes,No,Yes,No,Yes,No,,,Female,30-44,,High school degree,South Atlantic
3234785521,Lottery A,No,Yes,Yes,No,Yes,Yes,,Well	Yes,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,West South Central
3234785328,Lottery A,Yes,No,No,No,Yes,Yes,,Medium rare	Yes,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,West South Central
3234785052,Lottery A,Yes,Yes,Yes,No,Yes,No,,Well	Yes,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234784283,Lottery B,No,Yes,No,No,Yes,No,,Rare	Yes,Male,45-60,"$100,000 - $149,999",Graduate degree,
3234784173,Lottery B,No,No,No,Yes,Yes,Yes,,Medium rare	Yes,Male,18-29,"$150,000+",Bachelor degree,Middle Atlantic
3234784051,Lottery B,No,Yes,No,No,Yes,No,,Medium	Yes,Female,45-60,"$150,000+",Bachelor degree,East North Central
3234784036,Lottery A,No,Yes,Yes,No,Yes,Yes,,Rare	Yes,Female,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic
3234783550,Lottery A,No,Yes,Yes,No,Yes,No,,Rare	Yes,Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
3234783292,Lottery B,No,Yes,Yes,No,Yes,No,,,Female,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic
3234783123,Lottery B,No,Yes,No,No,Yes,No,,Well	Yes,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234783057,Lottery B,No,No,No,No,Yes,Yes,,Medium	Yes,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3234782765,Lottery A,No,No,Yes,No,Yes,No,,Response	Response,Female,45-60,,Graduate degree,
3234782177,Lottery B,No,Yes,Yes,No,Yes,No,,Medium rare	Yes,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3234782073,Lottery B,No,No,Yes,No,Yes,No,,Medium Well	Yes,Female,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
