iata,name,city,state,country,latitude,longitude
LGB,Lawrence Smith Memorial,Pittsburgh,NJ,USA,52.56098243,-169.74733155
DM2,Lawton-Ft Sill Regional,El Paso,AK,USA,37.19651852,-66.43779904
17K,Griswold,Tempe,TX,USA,37.97851976,-85.47521198
MLF,Albertus,Las Vegas,NM,USA,34.73011375,-85.57942213
M37,Rutherford County-Marchman,Los Angeles,TN,USA,34.36083411,-87.35917584
BTN,Robert(Bob) Curtis Memorial,Jersey City,KS,USA,40.49370052,-102.88105915
6V6,Gainesville Regional,Salt Lake City,CA,USA,38.97158579,-81.25931343
U05,Lawrence,Saint Paul,MN,USA,31.45380476,-134.5183324
OXC,Marksville Municipal,Visalia,NY,USA,42.853542,-96.86611952
DQH,Hoonah,Corpus Christi,CA,USA,28.16377205,-91.85629916
PIE,Sedona,Peoria,UT,USA,12.13212971,-106.73129835
RAP,Carroll County,Phoenix,FL,USA,44.05395983,-96.25378133
Z40,Griswold,San Jose,OK,USA,40.22697614,-66.09722209
BUM,Oxnard,Toledo,OK,USA,45.68118335,-46.1215388
WYS,Mount Comfort,Mesa,FL,USA,48.7038184,-54.46510855
ODX,Pullman/Moscow Regional,Cleveland,KS,USA,39.73024916,-134.47181503
SEM,Chiloquin State,Nashville,MT,USA,34.52468602,-122.51536507
MWH,Roseau Municipal,Murfreesboro,MS,USA,42.80530717,-121.13767753
RDV,New Tazewell Municipal,Surprise,CA,USA,37.40003878,-86.71115231
DHT,Sauk - Prairie,Pueblo,WI,USA,37.76635744,-74.56816425
OGS,Alpena County Regional,Cincinnati,WI,USA,42.413129,-100.56292774
6B4,Spanish Fork-Springville,Anaheim,KS,USA,33.38719101,-161.51604726
LZU,Telluride Regional,Colorado Springs,UT,USA,40.23919559,-35.50057966
ENL,Ekalaka,Irvine,SC,USA,30.7923406,-115.27422672
55J,Taylor,Providence,MS,USA,43.79500761,-106.92083788
SRB,Washington Dulles International,Rochester,CO,USA,45.08938421,-58.56361135
SFF,Norton Municipal,Las Vegas,AL,USA,60.28468199,-83.79421141
AHQ,Winterset Madison County,Salt Lake City,MI,USA,48.68007638,-65.90549656
46D,Naknek,Raleigh,AK,USA,42.64812822,-118.05905537
AAS,Purdue University,Boise,OH,USA,47.88711897,-123.78532813
BHK,Ashland Muni-Sumner Parker,Colorado Springs,TX,USA,37.60153689,-79.4193666
FBR,St Marys,Greensboro,NJ,USA,43.5504658,-114.06140773
KSM,Alexandria International,Rochester,MI,USA,43.93630294,-68.67272616
SHX,Wilkes-Barre/Scranton Intl,Naperville,IL,USA,47.51275995,-88.53383822
LEW,Ocean City,Little Rock,IN,USA,35.44545349,-122.87640401
EPM,Mount Pleasant Municipal,Albuquerque,NC,USA,50.36011589,-104.66114052
M11,Redwood Falls Muni,Los Angeles,FL,USA,32.34959883,-132.79925719
3U7,St Clair Memorial,Baltimore,NE,USA,39.50707799,-99.11407007
PIE,Ashland Muni-Sumner Parker,Glendale,OR,USA,63.28486165,-73.40613384
U82,Republic,Tacoma,GA,USA,53.84859402,-115.03283889
VQQ,Funter Bay SPB,Paterson,OH,USA,26.67003992,-90.4465899
N68,Norfolk International,Moreno Valley,GA,USA,30.63161158,-68.67869989
WST,Fairfield County,Stockton,TX,USA,40.03953063,-74.78012999
HVN,Stevens Village,Lakewood,AK,USA,50.96061735,-96.86054685
MNZ,Audubon Municipal,Saint Paul,AK,USA,40.61181834,-149.56514658
29D,Augusta Municipal,Norfolk,CA,USA,43.43485988,-92.14858018
9K2,Lakewood,Chicago,IN,USA,36.22291527,-86.66630438
8K9,Brookhaven-Lincoln County,Sparks,OR,USA,56.02865452,-115.76200639
1F4,Hartington Municipal,Miami,OK,USA,43.52171138,-143.94500568
ADS,Rocky Mount Wilson,Oklahoma City,MT,USA,39.96209085,-121.20190636
FTG,Key West International,Houston,KS,USA,39.26262605,-36.8770917
6A3,Chisholm-Hibbing,Tacoma,OK,USA,49.30556271,-111.46196378
AUH,Waycross-Ware County,Waco,OK,USA,48.45796609,-85.92555627
0D1,Accomack County,Wichita,CO,USA,49.11579696,-84.79198055
I69,Cedarville,San Diego,NA,USA,30.05176027,-128.08123633
CTK,Edgecombe County,Chicago,MI,USA,40.65678101,-80.72273541
IER,McElroy Airfield,Cleveland,OH,USA,47.09598158,-79.85085035
TDF,O Neill Municipal,Chandler,AK,USA,38.78217753,-86.62584805
2D1,Livermore Municipal,Salt Lake City,MS,USA,38.22515836,-75.10091235
BUB,Sidney-Richland Municipal,Oklahoma City,ND,USA,43.77573678,-91.15614017
3LC,Furnace Creek,Dallas,NE,USA,40.76062068,-107.775655
GYH,Turner,Newark,WA,USA,33.75115391,-99.01005268
AL08,Washington Dulles International,Waco,OH,USA,53.66754664,-87.72764589
JAU,Mount Comfort,Worcester,MS,USA,24.8622584,-152.02802243
KTN,Minute Man Airfield,Charlotte,GA,USA,42.33689216,-116.26258008
HRL,Knoxville Downtown Island,Richmond,CA,USA,45.98526868,-50.83576468
PSX,Rawlins Muni,Buffalo,SC,USA,66.81178148,-109.04175425
HYI,Laramie Regional,Salt Lake City,VA,USA,53.70151267,-103.46226222
CGC,Clintonville Municipal,Thornton,MS,USA,41.66035094,-124.50660144
LBO,Birch Creek,Rochester,MI,USA,38.76038598,-58.42786035
TYR,Chambers County,Omaha,AK,USA,45.50091378,-94.8210327
N24,Albertus,Colorado Springs,MI,USA,55.16484978,-62.04441908
1H2,Circle Town County,Fort Worth,IN,USA,51.05679843,-82.70160557
0M4,Crawfordsville Municipal,Fayetteville,OK,USA,54.14779455,-105.7902315
OEB,Pittsfield Penstone Municipal,Raleigh,AR,USA,28.83036437,-145.76855347
N81,Blytheville Municipal,Sioux Falls,MN,USA,30.00101916,-110.37280418
OZA,Greenville,Las Vegas,TN,USA,33.79266075,-106.95246984
GDV,Hondo Municipal,Naperville,CA,USA,49.71840133,-109.84948965
66D,West Plains Municipal,Brownsville,TX,USA,49.04948264,-109.71961099
SZY,Garden County,Savannah,AS,USA,48.22016287,-133.94613623
N40,Eunice,Pasadena,AS,USA,46.24502431,-106.10881992
MNF,Memphis Memorial,Oxnard,LA,USA,29.15925525,-118.00629615
FKN,Fort Benton,New Orleans,NE,USA,30.61208103,-114.3166618
3K7,Jerry Tyler Memorial,Tallahassee,IL,USA,38.9232434,-85.8008762
55S,Boulder Muni,El Paso,OH,USA,33.39294908,-106.11132648
BHB,Commerce Municipal,Houston,AR,USA,48.61711492,-88.50464804
LNA,Bay Bridge Industrial,Waco,PA,USA,30.42956273,-121.13226018
K46,Mbs International,Riverside,IL,USA,32.56048084,-82.21853534
VCV,Libby,Pasadena,AK,USA,37.61532201,-112.91547771
42C,Jack Northrop Field/Hawthorne Municipal,Boise,MO,USA,47.05454221,-107.64578517
6S3,James A Rhodes,Birmingham,SC,USA,32.85793321,-134.77082687
ZZV,Edgeley Municipal,Richmond,MN,USA,33.98134702,-93.91512969
27D,Pryor  Regional,Charlotte,AZ,USA,60.33507645,-92.04725569
11D,Key,Sacramento,NC,USA,40.58363267,-51.61834214
MVI,Sylvester,Pomona,MO,USA,33.33221047,-73.8238756
DYB,Manistee County Blacker,Lubbock,MN,USA,43.85939383,-114.46357635
VEE,Huron Regional,Henderson,OK,USA,40.26619663,-93.58646783
7B2,Riddick,Corpus Christi,CA,USA,50.04731038,-122.56217712
TAN,Anson County,Durham,GA,USA,38.73261503,-61.7708425
0R1,Paso Robles Municipal,Sacramento,NJ,USA,24.72168602,-105.3369192
GBH,Chariton Municipal,West Valley City,OH,USA,22.27794583,-84.30046955
BET,Antelope County,Riverside,SD,USA,23.08253919,-101.33917685
SUW,Punxsutawney Muni,Murfreesboro,ND,USA,46.35141683,-68.97322522
19N,Lake Tahoe,Torrance,KY,USA,40.17121398,-81.42844895
5F1,Grand Canyon State,Durham,NE,USA,38.18558284,-86.06303443
DED,Salem Memorial,Pittsburgh,ND,USA,29.31035881,-94.4254257
JMR,Decorah Municipal,Cincinnati,MS,USA,41.78611321,-88.88785844
SPF,Everglades,San Francisco,IL,USA,49.60794465,-106.89627348
CPS,Concord Regional,Thornton,CA,USA,47.55190907,-89.4249069
1R1,Lonesome Pine,Knoxville,NY,USA,32.77364686,-103.62157768
FRM,Crossville Memorial,Fort Wayne,MN,USA,43.28062533,-103.73618935
GFL,Big Bear City,Macon,WA,USA,36.86147298,-121.41922157
I16,Flat,Tempe,GA,USA,38.74314729,-92.13498234
3D4,Elim,Tokyo,OR,USA,30.61352697,-72.60999686
M70,Findlay,Oklahoma City,MS,USA,49.88370175,-97.44107576
BPT,Chitina,Paterson,KY,USA,42.10868736,-110.59006509
OSC,Ormond Beach Municipal,Escondido,AL,USA,51.28022078,-105.30928609
2J9,Wilkes-Barre/Scranton Intl,Denton,IA,USA,28.87696259,-80.09027061
MRI,Ingersoll,Richmond,ID,USA,31.99703281,-68.61072167
RDU,Hana,Las Vegas,NV,USA,25.72364928,-109.31859487
05C,Giddings-Lee County,Lubbock,WA,USA,53.24158676,-89.6370712
MSY,Post Mills,Miami,LA,USA,45.20358793,-122.1416623
4S9,Funter Bay SPB,Peoria,CA,USA,27.74349205,-75.14924289
X51,Harlan Municipal,Worcester,NC,USA,33.31100104,-91.45795713
19M,Jack Edwards,Fontana,NY,USA,53.45722118,-51.50231303
IAH,Mansfield Municipal,Atlanta,WA,USA,47.47655693,-84.35155598
63A,Grove Municipal,Boston,MD,USA,45.80052173,-91.61031097
WVI,Yakutat,Fresno,AR,USA,45.9654012,-159.56082962
VRB,Togiak Village,Denton,MN,USA,38.59887904,-147.61188301
TEX,Franklin County State,Corpus Christi,SD,USA,55.86521666,-99.64809407
LWL,Mackinac County,Saint Paul,NH,USA,34.67617811,-120.12941843
SPS,Alexandria,Peoria,IL,USA,48.75039983,-91.81992384
60J,Whittier,Minneapolis,ND,USA,43.90076347,-71.41310854
IWA,Hoonah,San Antonio,IN,USA,39.98507604,-45.59160969
K01,Packwood,Carrollton,GA,USA,32.28639761,-93.23642626
LWV,Tupelo Municipal,Pasadena,AL,USA,57.21260055,-111.6541221
OTM,Ocean City,Jersey City,CA,USA,37.97646658,-86.56051361
1A6,Stevens Point Municipal,Chicago,WI,USA,57.02316412,-152.6452693
4S3,Mason City Municipal,Tokyo,TN,USA,16.55811946,-118.83442853
ISZ,Grant County,Bakersfield,AK,USA,42.89441694,-136.94049578
6D8,Ruston Regional,Salem,AZ,USA,25.39455911,-117.20532794
Q53,Wilbur,Des Moines,GA,USA,52.46485437,-84.02545583
ATS,Moore County,Knoxville,CA,USA,36.42137524,-97.39306268
M91,Brookhaven,Santa Ana,NE,USA,33.4467768,-115.17583836
5D3,Laurel Municipal,Irvine,VI,USA,38.07837817,-71.23583543
KCC,Hanford Municipal,Pasadena,KS,USA,58.23775729,-134.76579106
1J0,Antrim County,Seattle,AK,USA,42.54582876,-103.79188209
MSP,Magee Municipal,Jacksonville,AK,USA,29.76359594,-112.67064105
LSB,Cherokee County,Waco,MT,USA,35.53394405,-148.78548127
JAX,Goose Bay,Hampton,SC,USA,27.06809759,-100.11554621
OGM,Pike County-Hatcher,Jacksonville,OK,USA,27.4135932,-128.41280193
Y74,Hazelhurst,Waco,MO,USA,29.53764762,-48.52074776
HYG,Jack Edwards,Lubbock,CA,USA,29.12031465,-105.36907864
GSO,Adams County Legion,San Antonio,AL,USA,36.88022589,-107.44080179
PTW,Turner,Corpus Christi,MN,USA,25.45681545,-126.44141733
RQE,Bearce,Sunnyvale,PR,USA,45.0251451,-81.60185052
4B9,Barnes County Municipal,Lincoln,KS,USA,34.83676821,-100.251828
C83,Robert Sibley,Murfreesboro,LA,USA,45.80877515,-119.23855389
O27,Draughon-Miller Central Texas Regional,Visalia,GA,USA,44.72188447,-62.22329214
IGT,Salinas Municipal,Corpus Christi,NY,USA,50.89460638,-115.59357337
Q31,Macon County,Lubbock,AK,USA,41.46440688,-55.60576568
I66,Stillwater Regional,Pittsburgh,NE,USA,48.61432049,-68.05945787
ENM,Florala Municipal,Anaheim,OH,USA,48.51418958,-120.71916337
42C,Wiley Post,Santa Ana,CO,USA,25.5563826,-116.75654602
BMC,Crawfordsville Municipal,Gilbert,NH,USA,46.54216353,-131.47542118
DEN,Mankato Regional,Buffalo,SC,USA,36.71055935,-63.40617807
SXQ,Tangier Island,New York,CA,USA,34.07397731,-72.26202292
LNL,Sand Point Municipal,Buffalo,FL,USA,30.0687767,-121.20344828
T78,Mountain Empire,Albuquerque,AK,USA,42.90728104,-64.96933775
56M,Hollister Municipal,Cleveland,TX,USA,50.52707859,-111.65583023
HBG,Philippi-Barbour County Regional,Honolulu,AZ,USA,30.33506783,-90.79045174
OVO,Park Rapids Municipal,Brownsville,MO,USA,28.21607315,-124.71924583
PKD,Forks,Lewisville,CA,USA,32.76353422,-72.11732364
RSL,Monahans-Roy Hurd Memorial,Hialeah,MO,USA,37.35623169,-111.58769817
M41,Tucson International,Torrance,NE,USA,38.10778694,-113.49109549
PBI,Smith,Dallas,WV,USA,43.95643059,-103.28324391
JKA,Randolph County,San Jose,GA,USA,43.51635603,-77.43378869
M23,Metlakatla SPB,Portland,TX,USA,36.64945116,-96.98437216
UNV,Yazoo County,Milwaukee,MT,USA,40.1564378,-113.10083437
0B4,Griffin-Spaulding County,Roseville,GA,USA,33.71152841,-106.55337635
GDM,Lee County-Marianna,Louisville,NE,USA,34.60700842,-91.30170915
M02,Rusk County,Tallahassee,FL,USA,28.25133658,-65.93228874
EET,Bellefontaine Municipal,Fontana,TX,USA,46.87954026,-77.36991943
HTL,Boise City,Albuquerque,HI,USA,49.90898131,-162.93416685
7KA,Lordsburg Municipal,Madison,IN,USA,36.61004659,-99.95831118
8A1,Redfield Municipal,Minneapolis,AR,USA,49.12823697,-147.11869345
L71,Wiley Post Will Rogers Memorial,Indianapolis,TX,USA,50.98550122,-154.99708186
OH30,Tinian International Airport,Sunnyvale,NE,USA,28.74074665,-111.76275072
O45,Key,Naperville,LA,USA,47.75935461,-48.19627138
CDH,Huntsville Municipal,Henderson,AZ,USA,15.56940177,-122.74007189
RNC,Water Valley,Macon,MN,USA,51.73062535,-152.50255485
CFT,Othello Muni,Aurora,MS,USA,59.16775269,-86.64888422
VNC,Clearfield-Lawrence,Tampa,WA,USA,43.76578875,-114.13869587
OFP,Hook Field Municipal,Tokyo,OK,USA,36.59299134,-85.28845649
O48,Freehold,Nashville,NV,USA,38.78851577,-152.34593741
OOK,Graham Municipal,Spokane,MS,USA,46.74861406,-126.12974232
DPL,Hernando County,Saint Paul,CA,USA,48.87952171,-84.67939433
PWK,Lindsay Municipal,Kansas City,UT,USA,36.95528001,-48.07609682
1G0,Great Falls Intl,Denver,MO,USA,24.267105,-109.63639578
IAN,Searle,Denton,FL,USA,46.43354539,-72.40428111
WRG,Mackinac Island,Laredo,OK,USA,43.79323971,-100.92486393
RBG,Granby-Grand County,Pomona,OH,USA,30.99045238,-49.57635047
LKV,Byron,Oklahoma City,KS,USA,32.11138176,-87.94377932
U10,Detroit Lakes -Wething,Denton,SC,USA,37.87352609,-121.35011278
WNA,Benedum,Philadelphia,IN,USA,43.21273006,-116.84816004
FAT,Laurinburg-Maxton,Colorado Springs,SD,USA,48.10539508,-135.84899186
DMO,Fort Wayne International,Atlanta,NY,USA,40.43676406,-85.164973
BTT,Pedro Bay,Newport News,MN,USA,40.80496854,-105.63568928
5W8,Grand Forks International,Sydney,AK,USA,35.96899457,-99.5479995
Z84,Hawkins County,Phoenix,MT,USA,41.98187536,-107.80367586
CCR,Lexington (Jim Kelly),Houston,CA,USA,29.65277085,-95.6500346
OIN,Addison,Fort Wayne,WI,USA,34.21615077,-98.71102414
FMZ,Myrtle Beach International,Fayetteville,WA,USA,41.87438498,-103.16079425
ROP,Marion Municipal,Philadelphia,WI,USA,31.92582003,-106.7892503
EHO,Harrell,Toronto,IA,USA,42.82115419,-71.21911675
HSV,Harbor Springs,Laredo,IL,USA,48.32574655,-69.06125465
M17,Islesboro,Little Rock,TX,USA,42.22107839,-84.68588252
PHD,Henryetta Municipal,Portland,NM,USA,49.21115787,-121.6970693
M59,Port Lions,Fresno,MO,USA,42.29227902,-54.06540508
N23,Ennis - Big Sky,Pomona,MA,USA,30.58775337,-113.06275965
W05,Sebastian Municipal,Savannah,MN,USA,33.72440209,-80.4730762
ONL,Charles W. Baker,Albuquerque,TN,USA,37.30445336,-100.91392847
ABY,Columbia-Marion County,Fort Worth,SD,USA,30.26996246,-112.7375228
RDU,Dallas Love,Toronto,CA,USA,39.3377058,-110.36885706
DEC,Robert E. Arraj,Reno,NY,USA,32.32908359,-91.1357447
VNW,Haycock,Mesa,ME,USA,30.86288727,-106.42688001
CEY,Santa Maria Pub/Capt G Allan Hancock,Dallas,NV,USA,29.13619709,-101.7520648
33J,Hankins,Cleveland,TX,USA,56.86345283,-108.67873351
DFI,Bert Mooney,Buffalo,AR,USA,32.80569993,-162.1525632
HSB,Quitman-Brooks County,El Paso,NV,USA,24.65606323,-72.96228812
WMC,Tompkinsville-Monroe County,Laredo,CA,USA,55.47240982,-100.40431142
BDX,Belzoni Municipal,San Jose,MA,USA,47.17099891,-82.86702657
MMV,Nebraska City Municipal,Tacoma,AL,USA,58.47205606,-71.93399039
GAD,Jonesboro Municipal,Paterson,MN,USA,24.88732304,-109.95017118
SOV,Medford Municipal,Bakersfield,NE,USA,37.63566748,-86.30715912
ND06,Indianapolis Metropolitan,Fort Wayne,WV,USA,42.87396678,-110.94778348
1ND3,Hartford Brainard,Oklahoma City,AZ,USA,33.78230542,-113.5187381
ONY,New Coalinga Municipal,Naperville,NJ,USA,40.39380488,-101.48008509
RWL,Columbia,San Jose,NY,USA,31.74523564,-89.33624694
2F8,Zephyrhills Municipal,Sacramento,MI,USA,47.78327412,-91.11278273
HUS,Everett-Stewart,Denver,CA,USA,45.21128611,-75.03309641
MRF,Ponca City Municipal,Spokane,AK,USA,25.03839644,-23.5036117
SLK,Auburn-Opelik,Phoenix,VA,USA,36.09230667,-145.77560811
CJR,Paso Robles Municipal,Anaheim,FL,USA,33.04682057,-94.60668399
RDU,Stanton County Municipal,Torrance,KS,USA,39.32529696,-88.80710564
AIY,Clare Municipal,Savannah,MA,USA,25.92193577,-87.22369845
MRI,Ephraim/Gibraltar,Fort Worth,CO,USA,32.22096143,-69.08871689
7F3,Klawock,Kansas City,MO,USA,36.59788798,-91.43233375
K89,Princeville,Houston,TX,USA,36.35320136,-104.52359937
T90,Alakanuk,Moreno Valley,OH,USA,30.14192098,-95.79419397
11R,Abernathy,Tampa,ID,USA,37.44424133,-131.63312796
BWP,Ozona Municipal,Irvine,AL,USA,51.00406408,-80.69275911
0F9,Reno/Tahoe International,Berlin,OK,USA,39.13890287,-79.68442906
15J,Fresno Yosemite International,Minneapolis,SC,USA,30.09727927,-104.7234092
FNR,Silver Springs,Surprise,TX,USA,33.5935922,-34.91143695
04Y,Mitchell Municipal,Tempe,AZ,USA,50.66958531,-48.1628332
9D1,Chippewa Valley Regional,El Paso,NJ,USA,55.48070069,-109.43161009
6R9,Stuyahok,Huntington Beach,NJ,USA,42.80324207,-82.20412907
SAT,Draughon-Miller Central Texas Regional,Fort Worth,CO,USA,50.08290123,-101.7343804
F87,Henderson,Charlotte,OH,USA,36.15458185,-88.95336373
IWH,Byerley,Milwaukee,MI,USA,26.67392477,-115.51181015
SYR,James M Cox Dayton Intl,Moreno Valley,UT,USA,45.23394902,-127.25683622
W05,Hereford Municipal,Fort Wayne,PA,USA,26.63067761,-104.46425319
1V9,Livingston County,Akron,NE,USA,39.35636363,-88.2581723
IPT,Cuero Municipal,Chicago,PA,USA,43.08380018,-92.11474722
X46,Sheridan,Reno,OK,USA,51.45067189,-103.13868824
4B1,Indianapolis Terry,Honolulu,NY,USA,23.56868336,-61.02626627
RCX,Brantley County,Fort Wayne,SD,USA,42.06752933,-145.75356246
SHG,Portland Municipal,Louisville,WA,USA,32.21494523,-137.03202523
GQQ,Twin Hills,Fort Worth,MO,USA,35.08796719,-77.38814045
39N,Warren-Sugar Bush,Tallahassee,WI,USA,53.64778217,-114.0300665
25J,Grove City,Tempe,OR,USA,45.34459626,-23.29656946
P01,Athens Jones Municipal,Charlotte,NJ,USA,36.86937408,-162.36462198
HOC,De Witt Municipal,Denver,TX,USA,36.06216847,-111.1803493
OFK,Ulysses,Sydney,CT,USA,44.98634602,-112.54991575
0F7,Faith Municipal,Tacoma,KS,USA,31.75899215,-114.42535825
BMG,Marshall - Harrison County,Hialeah,VT,USA,40.88669557,-68.29062709
SPF,Mesquite,Fayetteville,PA,USA,44.27569567,-103.90390306
ELZ,Cloverdale Municipal,Corpus Christi,KS,USA,31.0991631,-127.30331292
3SQ,Orlando International,Lakewood,WV,USA,26.71770272,-87.76305735
2J9,Hyde County,Dallas,AZ,USA,33.27424395,-94.4498392
OMH,Linden,Oxnard,GA,USA,27.33121154,-86.47143728
PTB,New Holstein Municipal,Pittsburgh,WI,USA,39.44230727,-82.4992687
ARG,Shawano Municipal,Visalia,MS,USA,21.69936468,-83.64569699
EGV,Wilmington International,Fayetteville,WY,USA,52.82375745,-89.95752049
4U3,Merrill Municipal,Surprise,AK,USA,40.78094324,-104.80121391
NC67,Mountain Meadow Airstrip,Austin,VA,USA,48.19101988,-88.73592745
JOT,Tazewell County,Fayetteville,TX,USA,28.5009923,-118.53857345
PSE,Kenmore Air Harbor Inc,Los Angeles,TN,USA,32.3789235,-83.45775262
M78,Reid-Hillview of Santa Clara Co,Fort Wayne,SC,USA,33.14097921,-33.66374764
FMY,Karnes County,Sparks,OH,USA,44.54898958,-109.63448748
0V2,Moore-Murrell,Allen,IN,USA,51.57677918,-78.82321224
2S7,Maryville Memorial,Grand Rapids,FL,USA,47.5215122,-119.82056075
MBL,Millard,Thornton,AR,USA,51.97892275,-138.70951184
IFA,Jack Barstow,Tempe,IA,USA,45.75401341,-63.2865396
SZP,Harry Clever,Tokyo,CA,USA,33.98583837,-81.71914454
5U8,Rockwood Municipal,London,IL,USA,27.36739543,-87.2336337
SVH,Fort Atkinson Municipal,Stockton,GA,USA,26.56508491,-53.60195167
74S,Galbraith Lake,Odessa,NM,USA,37.133724,-107.96752502
O88,Hawley Municipal,Norfolk,AK,USA,23.28052712,-107.4560291
Q14,Corporate,Newark,GA,USA,36.41937696,-99.88683754
O43,Lake Wales Municipal,Topeka,AZ,USA,42.78339385,-144.34016149
LJF,Nightmute,Chandler,PA,USA,38.57955312,-81.66950802
C47,Crookston Muni Kirkwood,San Antonio,TN,USA,54.54961926,-94.21901377
2V2,Shelby Municipal,Berlin,AK,USA,46.48019078,-92.83508506
MGJ,Andrews Municipal,Savannah,KS,USA,50.84558799,-97.20785848
FCA,Red Lodge,New York,ND,USA,33.91682963,-115.56053232
0R4,Navajo State Park,Paterson,AK,USA,22.51161592,-109.74043548
FOK,Neillsville Municipal,Gilbert,NJ,USA,40.86040801,-112.1331352
KLS,Takotna,London,TN,USA,38.42824172,-87.7914148
B19,Chippewa County International,Topeka,KY,USA,41.27334183,-132.32365038
33S,Culberson County,Brownsville,NY,USA,45.39718861,-93.7704947
IDL,Centralia Municipal,Greensboro,PA,USA,42.58906272,-69.98325544
ROP,Ketchikan International,Lakewood,AK,USA,55.67524065,-125.19723981
3R0,Du Bois-Jefferson Cty,Sioux Falls,WA,USA,39.59719989,-97.98866371
7K4,Port Graham,Louisville,CT,USA,53.02346139,-145.1408959
MDZ,Central City Municipal,Glendale,AK,USA,34.61955979,-84.72962618
62H,Fitchburg Municipal,Roseville,NY,USA,37.20827303,-124.54258873
DAL,Barnes County Municipal,Buffalo,NY,USA,42.07923725,-56.59472232
BQK,Metter Municipal,Fort Worth,AR,USA,37.01199499,-102.80016036
T69,De Soto Parish,Greensboro,AR,USA,45.00411772,-106.66809376
20A,Manila,Bakersfield,OK,USA,44.97722785,-140.99153321
PSX,Kyle-Oakley,Eugene,FL,USA,43.67478439,-100.6387383
OSX,Noatak,Escondido,TX,USA,43.06830883,-92.10119292
HWO,Linn State Tech. College,Henderson,WI,USA,40.65235315,-69.01872803
Q58,Teterboro,Corpus Christi,CA,USA,42.50187435,-106.91345974
F89,Cooperstown Municipal,San Jose,SC,USA,31.84418287,-105.48482077
ITR,Methow Valley State,Toronto,GA,USA,48.9030435,-112.35249363
0E8,Rockwell City Municipal,Colorado Springs,ID,USA,39.35342776,-83.37737851
EZM,Tooele Valley,Arlington,IA,USA,47.68942943,-76.89658368
S39,Newton-City-County,Albuquerque,AK,USA,47.07275434,-63.31774234
37W,Harry Clever,Lexington,OH,USA,52.23922177,-101.68714481
MAC,Pine Bluffs Municipal,Hialeah,CA,USA,37.40045699,-76.8545403
DBQ,Manitowoc County,Henderson,MI,USA,36.57641569,-58.47069047
VDZ,Bison Municipal,Norfolk,TX,USA,32.13864949,-104.73420331
SET,Lincoln Municipal,Hampton,WI,USA,51.14173907,-106.25973995
CWI,Madison Municipal,Pomona,AK,USA,29.99930275,-76.8015666
6S5,Yellowstone,Mesa,OK,USA,43.62751435,-92.90894463
T82,Lihue,Fort Wayne,NY,USA,47.77281781,-87.91218247
AQY,Freeman Municipal,Little Rock,MS,USA,38.86659868,-113.3469977
D95,Newport News/Williamsburg International,Hayward,OH,USA,44.91143085,-82.37875836
LYH,Donaldson Center,Baton Rouge,OK,USA,34.63850094,-87.28661993
ORB,Conchas State Park,Toronto,OR,USA,38.43992597,-80.86393166
4W1,Barnstable Mun Boardman/Polando,Austin,AR,USA,46.85008287,-85.57955323
5A4,Barstow-Daggett,Newport News,AL,USA,34.76433012,-71.84854319
96Z,Hemet-Ryan,Little Rock,AZ,USA,37.75549778,-93.18508463
X63,Price County,Jacksonville,TX,USA,56.19624234,-59.07855341
4U3,Grayling Army Airfield,Oklahoma City,NY,USA,59.97326231,-95.96067231
CNY,Charles City Municipal,Durham,PA,USA,37.80883797,-91.57020557
ULS,Atlantic City International,Visalia,ID,USA,33.85649858,-123.01894441
68S,Shelby County,Worcester,CA,USA,39.77031247,-108.70367588
FFM,Perry-Houston Couty,Toledo,MN,USA,44.83431077,-134.53531628
N99,Atkinson Municipal,Pueblo,SD,USA,33.0903383,-110.73662085
CTY,Lea County,Little Rock,AL,USA,22.02143549,-132.52467917
CWV,Fresno Yosemite International,Colorado Springs,IA,USA,31.4310798,-118.86367093
S52,Hilton Head,Fresno,MI,USA,36.25801909,-98.29980328
CVX,Rock County,Lakewood,WY,USA,47.49502479,-108.29237491
TEB,Spencer Municipal,Laredo,UT,USA,39.78054477,-44.65223552
CQB,Grayling,Bridgeport,TX,USA,49.56825365,-64.88874377
CGI,Jean,Seattle,NE,USA,38.24986324,-122.60189611
00V,Kenmare Municipal,Honolulu,LA,USA,43.60276652,-134.06024727
1S0,Hutchinson County,New York,VA,USA,40.75112241,-160.13239514
ND17,Bowman Municipal,Lewisville,WY,USA,40.30424431,-101.59637811
16J,Nikolai,Memphis,KY,USA,33.61488654,-59.91530199
MSL,Gettysburg Municipal,Austin,MT,USA,39.236595,-113.72480807
MPE,Shungnak,Indianapolis,TX,USA,54.27035319,-83.99035901
PVD,Ells Field-Willits Municipal,Berlin,TX,USA,24.37878023,-94.06790078
SDP,Skyhaven,Providence,OH,USA,52.69301102,-124.64756367
FOA,Dover Air Force Base,Lakewood,ND,USA,41.24579683,-107.46411481
IWS,Greenville,Providence,WI,USA,28.51219662,-99.90056376
MDZ,St Marys,Las Vegas,LA,USA,38.16773693,-100.69230503
DPL,Myers,Midland,VT,USA,45.56048235,-102.48927587
TZV,French Lick Municipal,Rochester,FL,USA,46.69611333,-96.74708473
1D3,Mission,Modesto,ME,USA,25.34875778,-72.76897363
OYM,Cortland Cty-Chase,Sunnyvale,PA,USA,40.36757113,-75.39759133
TNU,New Kent County,Omaha,IA,USA,53.84252256,-117.01268134
