year,country,cluster,pop,life_expect,fertility
1965,Switzerland,3,56445423,65.11,8.23
1960,Switzerland,3,4978519,65.47,2.8
1995,Switzerland,1,6419888,80.88,7.72
2005,Switzerland,4,143916980,68.9,3.75
2005,Switzerland,3,9385418,80.37,2.86
1955,Switzerland,3,69430960,74.48,3.12
1990,Switzerland,3,78875600,69.07,2.87
1985,Switzerland,4,980194,82.5,2.13
1970,Turkey,3,24640372,65.76,3.86
1995,Turkey,3,1094451,72.37,6.65
1980,Turkey,5,24633246,62.32,2.8
1960,Turkey,3,11318342,55.24,3.84
1960,Turkey,4,126234,62.66,0.98
2005,Turkey,3,1454755,71.13,5.28
1960,Turkey,5,19394431,67.05,2.58
2005,Turkey,5,9829640,73.31,5.04
1990,Turkey,5,16324393,54.59,2.55
1970,Turkey,1,266629129,71.51,2.84
2005,Turkey,1,43743352,55.44,2.66
1960,United Kingdom,4,54252385,62.82,3.82
1955,United Kingdom,3,13151424,60.22,1.35
1960,United Kingdom,5,85242794,59.12,4.07
1965,United Kingdom,4,112493345,71.51,3.0
1955,United Kingdom,2,2642427,68.18,4.77
2000,United Kingdom,2,79762801,67.45,7.57
1970,United Kingdom,1,23782440,55.05,8.23
1965,United Kingdom,3,4266648,72.27,1.15
1990,United Kingdom,3,2779445,60.22,4.48
1960,United States,0,21197533,71.12,2.16
1960,United States,2,1210665,77.7,4.98
1990,United States,3,77817828,82.5,2.57
1995,United States,1,168985872,78.14,6.6
2005,United States,5,115637436,53.5,3.34
1985,United States,5,3997659,58.79,2.59
1980,United States,5,661846902,61.25,3.16
2000,United States,3,24305486,66.52,3.47
1995,United States,1,34615747,63.62,4.78
1960,Venezuela,3,12807147,75.73,2.25
1955,Venezuela,1,34501656,60.62,4.43
1980,Venezuela,4,13206361,68.49,4.44
1985,Venezuela,2,536223481,69.88,4.17
1965,Venezuela,2,267277929,63.94,1.7
1990,Venezuela,4,16716658,63.03,1.08
1960,Venezuela,1,359044788,65.43,1.73
1980,Venezuela,3,6700430,59.96,1.01
1990,Venezuela,4,6086506,63.59,2.53
1980,Venezuela,4,3045322,62.96,5.68
1970,Venezuela,5,675687,74.77,4.54
1990,Venezuela,1,12067699,63.94,8.23
