origin,destination,count
AMA,OTZ,435
CEC,ACV,3137
EGE,FLL,2007
HDN,GSO,501
DCA,CRW,71
VLD,CMH,883
SJT,LAS,3467
SLC,STT,251
LGA,MOT,941
MCI,COS,818
OAK,YKM,1077
MSN,AVP,1156
RDD,DAY,3958
BIS,OAK,510
DCA,SAN,577
AUS,MSP,3564
PHX,TPA,2239
HRL,ALB,270
MBS,LRD,427
BGM,CMX,85
PDX,BWI,230
PIA,MOD,980
LYH,TOL,2169
MOB,ACV,512
SDF,RAP,99
LNK,BTM,1121
CMH,FAT,462
FAR,DTW,2151
ICT,HHH,1096
ELP,PNS,5753
TRI,CVG,11
CWA,LBB,3018
ERI,GST,572
ISP,BLI,672
PIA,MTJ,572
BET,FSM,323
DCA,MBS,794
LAS,ELM,94
SCE,RAP,1488
RAP,TYR,2063
PBI,GFK,3648
ORF,ALB,175
DAY,MDW,1366
FAT,ELP,1379
MYR,RKS,156
IND,TEX,638
GRB,BNA,4592
ILM,PWM,65
MHT,FCA,5102
LIT,CHO,57
JAC,OGD,87
AKN,OMA,321
MSP,VLD,142
RDU,DLH,1087
SYR,OMA,18
CMH,OGG,618
CEC,GPT,25
ABY,RNO,224
CVG,DAB,1012
SJT,GNV,80
CMX,CLE,1273
RSW,AKN,25
ROA,SCC,81
SAN,BFL,109
OKC,ATW,963
FSD,BGM,120
GRB,PWM,19
CLL,RDD,2651
TRI,MFR,13788
LEX,CLD,56
BLI,PIT,349
SUN,PHX,7
BGM,PBI,267
MEI,VPS,1059
SJT,LMT,360
RNO,BWI,1913
MHT,ALO,32
PVD,OAJ,699
SGU,MKG,1521
PFN,SNA,1148
PBI,FLO,1307
TLH,MCI,1707
CMH,WYS,4545
RNO,GCC,3745
CLD,WYS,1351
SUX,KTN,5012
EWR,CID,526
CMI,AEX,364
ASE,SDF,612
MRY,AEX,689
TXK,CEC,206
CMX,FNT,508
JAC,RDU,1009
CHS,BUF,1147
BOS,SDF,233
ADK,SIT,434
FWA,BET,133
CHO,SJT,596
LWS,BOS,1876
SRQ,LGB,394
CRW,SAN,654
OGG,DRO,2202
JFK,MLU,853
GCC,ABE,2121
TPA,EWN,936
SCC,CRW,3851
BDL,CID,1184
OXR,MLU,694
BZN,ATL,334
GPT,BFL,102
CLE,SYR,6371
JAX,CMX,669
BET,MYR,9
AGS,AUS,2057
HTS,PHX,1105
MLB,AGS,94
SBP,OMA,286
RST,TYS,238
GRR,RFD,406
PSP,DSM,155
BOI,JNU,1927
SDF,JNU,478
FSD,TYR,52
BTV,HOU,122
DCA,HTS,2420
PHF,SGU,987
PBI,TOL,372
VLD,PHX,1039
SHV,BOS,212
JAC,MRY,2418
GFK,DHN,1293
KOA,DLH,430
ILM,RDD,94
RST,KTN,1124
LAX,PIH,1753
SJU,FNT,17
LAS,YAK,2212
GSP,ALB,837
FNT,SJU,6666
RSW,SJC,2685
DCA,FSM,64
ABE,YKM,194
SDF,MBS,1589
HPN,COD,1418
SBN,GEG,5515
PIR,RNO,795
CRW,SUX,1723
STL,SRQ,1192
CLD,MEM,412
IND,DLG,2566
LMT,FWA,1101
OGG,CID,22
GCC,GPT,948
TWF,MFE,46
MCN,BZN,407
CRP,PMD,49
BTV,VPS,647
STT,AUS,779
TUL,BWI,668
PNS,ELP,2191
HRL,SMX,1137
FCA,CYS,6309
HOU,BGM,486
LNK,LMT,471
CAE,VPS,33
SJT,OTZ,2258
JAN,HLN,262
TVC,GPT,521
RDD,MHT,46
OKC,PHL,1047
TPA,CSG,5434
BZN,IAH,9273
BGM,LRD,345
ROC,FAI,2865
LGB,LRD,47
SCC,HDN,2152
GGG,COS,635
MOD,LBB,416
LAX,GGG,287
GFK,CLL,3523
ATW,GRR,846
MOB,SWF,2018
RFD,BTR,1994
EKO,HRL,333
DLH,BOI,1336
LIH,FLG,293
MCO,IAH,1
BZN,ACT,1735
PNS,ACK,173
PNS,BJI,539
MOD,CDV,178
CPR,SRQ,2635
SCE,EGE,999
ALO,BUR,1656
SYR,RST,35
SJU,LYH,1108
BLI,GRB,924
DAL,RIC,244
TRI,CEC,28
CAK,ERI,1308
JAC,FAI,15
SBP,COS,1076
ABQ,IPL,1350
CRP,SBA,1776
VLD,HOU,431
PSC,TXK,5683
SGF,MBS,4526
RDM,IPL,2083
BRW,PIH,1111
MOB,FAT,2042
LAN,LRD,1755
GSO,MOB,264
EWN,CAE,39
CMH,YAK,566
MOT,FWA,1896
HNL,ACK,68
AKN,LIT,1410
ICT,MSN,2237
ICT,OXR,1812
ROW,CID,941
PUB,MGM,3969
BFL,FAT,750
SBA,WRG,67
SCE,GNV,33
SGU,CMX,35
MGM,PIT,3734
ACV,BOS,1612
MSN,SRQ,247
MRY,GNV,5819
BHM,LAN,506
DLH,AVP,58
SPI,SCC,1006
CLT,MHT,372
BUR,BGM,38
BRO,MCN,107
HOU,FAR,4048
SLE,SAV,1459
SAV,MGM,635
TYS,MGM,28
JAX,AGS,720
MDT,MKE,1521
RDM,MSO,3012
ILM,CEC,58
TYS,YKM,298
SFO,VPS,34
MSO,RAP,201
IPL,TWF,38
ORF,BTM,147
ATW,BQK,117
FSM,ACK,128
ATL,CMH,3315
MFE,IPL,170
ATW,CEC,1317
AVL,MQT,589
RDD,HLN,1179
HDN,GSO,398
ERI,MEM,721
HTS,LIT,321
MSN,ERI,1025
TEX,JNU,3312
GPT,FLO,375
HOU,MKE,652
YUM,GTF,37
JAX,IAH,258
FAR,FLL,588
MSO,BUR,4
DSM,PSC,161
COS,CLL,175
SCC,JFK,88
PIA,DEN,259
CIC,BWI,1760
MLI,BUR,7
SIT,MHT,1201
CHA,ABE,2527
RSW,MSY,1307
AUS,CHA,3556
LYH,BRO,207
AUS,ERI,290
AMA,DFW,669
BET,HNL,412
GRK,MLB,586
HPN,EKO,593
IPL,LYH,728
AZO,BQN,840
COD,STL,2304
BGR,MSY,2321
BTM,LSE,2176
MFE,MBS,2365
CHS,DCA,71
PIA,CPR,3535
PIA,KTN,874
OAJ,HLN,675
DLG,MLI,2928
CHA,MFE,35
GUC,BUF,11
SWF,LYH,3905
ABQ,BOI,2709
HTS,MKG,330
HSV,STT,3183
DAY,ADQ,308
PHX,YUM,1530
ABE,FAY,369
ACT,PFN,3377
BUF,MHT,240
SWF,KTN,965
RIC,OXR,1039
HHH,GST,46
ABY,LAS,331
DFW,ORD,411
IND,LAW,1160
YAK,TLH,604
TUS,LAW,288
SIT,SEA,254
CSG,BGM,1322
CLD,SBN,586
DRO,MLB,61
PSE,LAW,1074
OMA,TRI,6400
AGS,EWN,2156
PLN,COD,367
IYK,FCA,11623
IAH,YAK,738
SAT,AUS,314
FAR,LGA,2397
MSY,SYR,656
CAE,CSG,255
PSE,GTF,494
MOB,GJT,102
AVP,PHF,1104
MDW,ABE,994
AKN,MCN,418
OTZ,MSO,92
SDF,GTR,463
SLC,SIT,2281
STT,SAN,1439
RHI,GRB,3469
HLN,CID,172
EWN,HLN,225
TEX,MEI,1801
LWB,PLN,212
LWS,MSP,608
MDT,HOU,2
SJT,CWA,334
OTH,MHT,3745
FAT,MCN,1259
GEG,LIH,2311
MGM,LAW,1649
GEG,CID,3
RSW,CVG,4605
RSW,ORF,2904
MOB,CMI,622
ACK,ACV,9
ELP,LIH,45
SBA,COD,10221
ROA,MSN,6707
CMI,BQK,945
OMA,LAN,7282
OMA,BTM,1313
ADK,VPS,452
BMI,ACY,44
ACK,SPS,5105
TPA,YUM,937
LGB,ELM,980
HDN,PIA,4072
FAY,YUM,4566
PHX,ORF,1422
DSM,RSW,107
CHO,PMD,14
ELM,JAN,696
SHV,CLE,1678
AUS,PSG,535
BTM,CWA,605
SEA,BFL,431
TUS,SBN,1992
BTV,GEG,9
DAB,AVP,205
HOU,MOB,514
BQK,ACY,1333
ADQ,CLT,8829
IND,HPN,204
EKO,AZO,19
SMF,CLT,732
PBI,BET,643
BQK,BRW,692
MGM,COS,761
RFD,EUG,131
GRR,IDA,1007
BIS,AKN,2241
OTH,ABQ,782
STT,ONT,5008
LCH,BOI,1608
MSO,GRB,672
RHI,PFN,2735
BQK,DAY,881
OKC,RNO,1606
MEI,PSE,344
BFL,SHV,583
EVV,MLI,1635
MEI,SBN,948
BZN,RKS,210
ORF,YKM,2541
LYH,CAE,1710
BGR,PNS,873
BIS,BIS,569
ITO,LGA,78
MSY,MHT,602
MFR,LAW,5203
LEX,RFD,1404
PIT,STX,368
SYR,PSP,225
SJC,MLB,284
GGG,ADQ,8330
BDL,BUF,312
LGA,BHM,739
LWS,AZO,2027
CRP,EWR,1
CPR,ELP,2308
ACV,OME,2879
MAF,BET,472
IYK,CWA,7
EKO,CYS,2621
EVV,DTW,297
RDM,BPT,1081
LAW,ITO,427
TOL,OAK,1238
PFN,RDD,2450
ABI,BJI,97
PLN,IPL,4157
LSE,TXK,345
SUN,MSY,1393
MEI,CVG,910
IAD,GUC,1331
WRG,SRQ,178
MTJ,DAB,492
TPA,LFT,5529
SEA,MSO,4151
HPN,SMX,2838
MQT,BZN,487
MKG,ROC,14
RDM,OKC,1880
OAK,GST,1767
ADQ,IAD,413
RHI,CAK,409
CLD,FLO,4992
STX,SGF,93
ADK,FAI,736
BJI,ELM,636
FCA,BMI,2540
DLH,PSP,1105
GSO,HSV,3356
MCI,LAS,34
MOB,TPA,6160
TUP,TUS,17
DLH,MLB,827
IAH,FSD,1436
CPR,PIR,4842
BTM,COD,149
CHO,SPS,840
TEX,BJI,780
LCH,SFO,309
MFE,AVP,1468
MQT,BQN,178
OGG,FNT,1681
BTV,RDU,467
FWA,BRO,3837
LMT,AZO,67
ORD,LRD,630
LWS,OGD,1529
GGG,TRI,520
AGS,SJU,3315
LAS,ASE,47
CDV,PIT,977
HPN,CLD,217
DSM,CYS,145
SBP,TLH,2044
FWA,ROC,1949
EWR,MEI,66
CAK,RDU,1883
AZO,IPL,696
PSP,BQN,7
AZO,ADQ,775
MRY,RNO,238
SAN,IDA,307
RST,ONT,109
MRY,RIC,77
BQK,PIR,8470
BJI,BDL,97
BFL,SUN,1398
CLD,PIA,58
SMX,ROA,923
LIH,SNA,71
ONT,BTM,3174
GJT,MQT,277
AGS,ATL,5
FAI,BLI,293
ATW,SLC,193
LRD,HHH,1791
SGU,RDD,2173
PWM,ITO,3517
FAT,AGS,1201
JAC,CRP,65
ELM,MHT,261
SFO,LAX,1942
MTJ,ILM,1706
BJI,FAY,110
MCO,DCA,4347
OAJ,HLN,439
MEM,JAX,450
PIR,STX,1629
DHN,EWR,4545
TYR,OMA,1061
RSW,GGG,2200
TUP,EKO,759
IDA,GSO,2583
AKN,IAD,29
PIT,INL,18
CRP,PIA,1411
FAT,GUC,632
BGM,ACK,1005
DTW,TUL,1163
FLG,FSD,4330
STT,CID,3123
SEA,VLD,114
OGG,AEX,357
BIS,DEN,2424
YUM,BPT,2
SJC,FSD,2093
GGG,FSD,3356
SLE,ISP,2371
CMX,ITH,5061
LWB,ORD,1882
GGG,CVG,1471
SJC,HNL,3304
ATL,GSO,438
MOB,OTZ,720
JAC,RKS,1391
YUM,EGE,457
STL,HTS,173
ACK,MLB,291
DAB,JAC,4214
ICT,SUN,2101
MFE,SGF,5923
YKM,ELP,3
CSG,IND,3302
LMT,BZN,2346
PIA,CIC,80
IYK,DAL,327
MOB,LEX,5551
OTZ,IYK,918
DRO,GRB,1059
OTH,RKS,3158
GSP,BDL,370
VLD,OMA,811
OTH,GFK,236
DTW,SCC,380
OXR,DTW,2274
FAR,SJT,893
CLE,OKC,10
EGE,FLL,5
CRW,OTZ,543
PHF,GNV,2387
PDX,LAX,1478
GFK,CMX,1284
RNO,CIC,4559
VLD,CSG,1
MSP,SJT,758
PSE,BGM,79
BIL,SUX,869
AVP,RDU,1620
ROA,BGM,447
ATL,GTR,1461
ABY,SAT,1397
CDC,GPT,1399
DHN,DAB,404
VPS,GUC,646
IPL,MSY,152
TYR,LAX,2285
DRO,PSC,115
BPT,HNL,3160
JAX,EYW,6475
MLU,PIT,3585
LIH,PSG,669
MHT,BGR,412
CLE,ERI,353
BTR,BPT,48
TRI,MOD,2707
RDD,OMA,241
BET,JAC,428
EVV,MHT,475
MIA,CDC,132
OTZ,MSY,528
OGG,LGA,321
RKS,BRW,951
TPA,TOL,108
HPN,SUN,27
MYR,LRD,664
SLE,DAY,249
ITH,HDN,566
ACK,BFL,1540
CLD,PFN,3097
PDX,CYS,4649
RNO,DEN,72
GSO,MKE,3960
PSP,MIA,1451
IDA,RST,203
RDM,CLL,330
ATL,HOU,1
CLD,RSW,381
SYR,ACT,1699
ONT,KTN,52
CPR,MOT,232
GPT,JAN,1127
HLN,BTM,1765
CDV,DTW,1269
HNL,HOU,1668
LSE,SBN,92
BUF,MDW,420
SMF,GJT,2788
SFO,DAY,5309
EWN,CMH,29
PIT,LMT,219
ABQ,LAN,1620
EKO,SMF,255
HSV,BUR,347
ILM,HSV,1458
AMA,PIR,28
PSG,LYH,724
FAT,FAT,36
MEM,BTM,46
ATL,BWI,933
VLD,ERI,1588
IPL,CRP,444
BET,PVD,573
RIC,SDF,2297
TYS,YUM,7246
SJU,LAS,480
RST,AEX,707
LIH,MSP,92
HSV,CLE,208
SYR,LBB,221
BZN,MCO,4352
HNL,CLL,255
FCA,ADQ,1342
GUC,ELP,955
GST,MOD,1807
MSP,BZN,1003
FCA,CLL,15
CIC,DLG,528
ADK,PHX,581
EUG,DAL,435
RDM,AVP,1893
ACK,MSY,145
BFL,FLG,2710
CMI,INL,176
ITO,EVV,197
SGF,HPN,701
MLU,AVL,1330
ITO,AZO,2746
MSY,GST,1
CID,AVP,69
PWM,TWF,12
FCA,KTN,1765
BJI,FSM,426
CMI,FWA,1319
BIL,SAN,212
CMI,CRP,489
SPI,OKC,3936
TUP,KOA,474
OMA,SMF,1705
JAN,PSG,410
MDT,GRK,753
BRO,PIR,412
SAV,TVC,319
PSP,EYW,10
TYR,JFK,7267
HLN,SBN,187
LSE,ACK,2465
CLD,TUP,826
ITH,CRP,1921
MSO,PDX,244
RKS,ABY,3664
EYW,CLD,265
SJC,SMF,418
CDC,AVL,390
LGB,FAI,861
AZO,RNO,1109
JNU,MTJ,439
BDL,MGM,3258
PMD,BPT,1495
MLU,VPS,686
FLL,FLL,6396
MQT,HDN,2558
SGF,ALO,78
XNA,DRO,3411
PIT,GSP,463
YAK,BFL,1038
LIH,DAB,2021
TRI,ADQ,965
MTJ,MQT,16
CDC,FAR,6860
PVD,SYR,2809
LCH,PSP,2664
YKM,SJT,494
LAS,ADQ,9
EVV,IAH,203
PIR,SUX,660
GRB,IYK,4
EYW,CHA,1612
LMT,BTV,824
LGB,PFN,55
ANC,SCE,1526
ELP,LAW,1082
ICT,ATL,1584
GTR,EKO,2674
MFR,STL,4558
IAH,EWR,2811
CHS,SJU,508
AVP,PWM,714
MOT,JFK,531
CID,LCH,618
TUP,HRL,1258
MRY,PMD,880
CAK,PNS,67
ORD,BQN,2098
TYR,OME,1269
SPS,IND,3279
AUS,GEG,1578
SJT,ADK,165
CIC,STT,3415
ORF,MFR,4287
DEN,BGM,1046
CLD,RDM,42
SAT,ICT,2704
LSE,ADQ,2871
TLH,CLE,656
BTR,BPT,575
DEN,BJI,156
LWS,RNO,3644
SMX,SMF,526
JFK,ACY,1436
LAX,TOL,2255
ACY,BTV,737
LYH,LAX,717
OMA,CLE,2634
ATL,MBS,1622
GRB,LIT,110
GTR,MKE,1689
ABI,MSN,3691
ORD,STX,696
SDF,HNL,201
IYK,FWA,630
IYK,EKO,23
MIA,FLG,363
GSP,RNO,2072
SNA,CPR,19
JNU,HPN,41
BGM,ITH,1141
TWF,XNA,3063
GCC,MDW,153
SNA,MEI,86
SAN,MGM,3972
SJC,FAT,626
HHH,INL,529
VPS,SYR,855
YUM,HHH,82
HLN,JAC,1140
SEA,LAS,1438
CVG,SPI,1253
RHI,AUS,1642
IYK,HPN,652
SMF,ALO,735
PMD,CPR,764
FAT,INL,2079
SAN,CWA,1992
SGU,SCE,159
SCE,GTF,2046
PNS,EGE,371
LAS,YAK,3207
MOD,RIC,8
BTV,PSC,3512
HSV,BTR,1583
CMH,GRK,1546
GNV,BTR,1819
CSG,ISP,251
PSP,IYK,3411
EUG,GUC,2120
IAD,FNT,487
DAB,GTF,536
LRD,CLL,261
SRQ,RST,2890
PWM,LYH,13
BLI,DAB,1715
LFT,BJI,335
MCN,BWI,3711
ELM,SHV,2202
SCC,PLN,765
LGA,TEX,1481
BWI,BUR,1027
DLG,PHX,45
YUM,BLI,5637
DLG,BQK,474
OAK,LSE,583
PMD,CMX,1980
HPN,HPN,2988
YKM,MOB,642
AUS,HSV,1831
FAI,SBP,564
IAD,LCH,96
FSD,MCN,374
HLN,ORD,2212
OGG,CHA,6463
ITO,CRW,4576
SPI,RFD,543
HRL,SLC,7
GGG,HNL,273
ACK,FAI,4
BQN,BTV,486
KOA,SGF,2580
SEA,LCH,1508
SJC,CPR,144
LIT,TYS,154
SJC,MHT,965
MBS,SAN,637
RST,GTF,254
EVV,PHX,90
YUM,ONT,131
MBS,INL,1338
PDX,CRP,252
ROA,ORF,238
ERI,GGG,5487
MKE,MDW,441
FSM,SLE,38
LFT,CYS,254
LIT,SLE,94
MSP,LSE,3558
YAK,MFR,165
ISP,OGG,533
BRW,YKM,10111
BTV,CID,500
ACK,LAW,32
CRP,SPS,2834
FLO,FAY,5467
LBB,LYH,1512
ILM,EWN,859
CEC,GRK,229
PHL,BIL,196
TPA,TUL,1147
DRO,SMF,55
KOA,CDC,1287
BQN,PSC,607
LCH,MOB,217
PVD,DAY,976
LAN,ACY,2070
BIL,DTW,144
LYH,BTR,241
FLG,BFL,551
BTM,MLI,9
ATL,ELM,1644
WYS,ABQ,732
CEC,IDA,1903
FAR,EUG,212
PSE,STL,369
SBP,MCI,1090
PSC,LAX,138
SBA,ACY,286
STL,COD,1544
BDL,RAP,3010
EWN,MLI,3590
SIT,SLC,404
PHF,LAN,1
SAV,BUR,1558
GPT,CDV,1
ATL,VLD,373
CDV,CEC,1066
CMH,ABQ,301
RDU,SJU,2910
MTJ,MLI,194
BQK,LEX,720
HRL,EUG,1164
RKS,ILM,3529
BTV,ATL,228
LNK,AEX,1682
JAC,MFR,1232
DHN,MKG,760
OAJ,MSO,424
ABQ,MDW,1391
LAS,MOT,37
TYS,PSG,102
LNK,COD,1
LIH,MEM,559
FSD,DLG,1120
LFT,MOT,138
MCN,DAL,1586
CMH,PLN,185
HSV,PSG,3350
PMD,PWM,2528
RNO,CRP,528
SAV,ACY,308
TUL,VLD,1310
TEX,PHX,37
ACK,EWR,1829
MGM,SAT,658
DHN,CEC,888
RKS,OXR,6687
INL,BUF,118
LYH,TWF,501
ILM,ACK,20
LIH,PIT,220
OAK,TYR,179
CWA,LAW,611
SJU,BRO,91
BHM,CPR,301
MDW,ELM,501
MSO,CEC,7486
LEX,BET,273
PIR,MCO,634
LIT,DLG,380
DSM,WRG,252
ASE,PBI,3886
SBP,SJU,10
PUB,XNA,340
DSM,MCN,1532
ICT,FLO,1338
EYW,GTF,116
MLI,SJC,1839
HNL,PDX,4
ORD,FAI,2
MFE,JFK,231
LSE,EKO,2952
LRD,FAY,4819
MSY,CLE,4466
TEX,OGD,4157
MOT,LFT,824
GRR,HRL,3436
FAY,DAL,820
SGU,DAY,2193
SMF,BQN,1584
ATW,MTJ,705
ASE,AEX,648
MHT,CLD,623
HTS,IND,6060
EYW,TRI,432
BQK,MSY,2144
EVV,FSD,2988
VLD,EUG,818
MEM,GSO,4280
ITO,HLN,448
TRI,MAF,602
SMX,PSG,952
JAN,STT,2015
LEX,BQN,686
BQK,BTV,605
GJT,SAT,548
ILM,CAK,6670
BIL,HSV,3038
SUX,IYK,1230
EYW,HSV,1131
SBN,BPT,43
HTS,YAK,319
TPA,MOT,61
SAT,PIH,545
BOS,OXR,610
SFO,ONT,1218
SLC,CMH,352
OAJ,CRP,410
ERI,MOT,462
STT,CHA,1212
ILM,BNA,98
AVP,TWF,249
TOL,RSW,457
HTS,TWF,112
CHO,TLH,521
SCC,CID,1871
BLI,SJC,68
BIS,VPS,1175
MSY,COS,482
TYR,PBI,25
MEM,BWI,551
BZN,AEX,997
MYR,EUG,138
RDD,SEA,816
CRP,BFL,497
BRO,PSG,1255
BNA,FLL,3434
CLD,EWR,238
IPL,EGE,2016
BET,STL,18
RKS,MFE,187
HDN,MIA,1806
DSM,HNL,2140
ROC,CLD,2
MCN,FSD,241
GCC,EWR,202
FSM,PMD,1695
ISP,ADK,947
MKG,RDU,283
AGS,FLL,2088
SCE,GNV,306
ADK,DEN,75
BIS,SBP,2647
ISP,MCO,121
IPL,SLE,3946
LCH,DAB,838
RHI,FSM,581
TRI,ICT,884
GSO,SIT,99
LIH,CPR,728
ILM,MSN,175
ORF,MKG,63
FNT,GRR,65
ALO,CAK,1511
RDM,BRW,4406
MFE,FAT,4238
LAX,CHS,267
SCC,SBP,151
MDT,HNL,423
CPR,GST,1323
MKE,OTH,152
PHX,IND,4924
DAB,BNA,5
CLL,TUL,147
SCE,HTS,1864
MSP,BOS,257
FSD,SUX,2158
MKE,TYS,2885
SLE,FSM,1699
RKS,GSP,971
AEX,OAJ,689
CHO,TYR,556
PNS,RDM,767
OGG,BIS,709
SDF,HHH,98
SBP,ALB,1611
ICT,STL,640
SYR,SHV,1052
GNV,FLO,460
CSG,DFW,1771
JNU,MQT,1334
AKN,LNK,276
AGS,HDN,1170
PBI,DAB,2147
ACK,PIT,1573
SNA,BTV,781
BTR,MYR,4685
GCC,BIS,669
MYR,IAH,2510
VPS,EGE,929
GUC,ALB,2857
CMX,SBA,5152
KOA,DHN,772
FWA,FAI,292
DSM,GST,2309
STT,SCE,310
GEG,CMH,4057
ILM,PSC,40
CAE,ACY,185
GSP,CIC,227
ABE,MDW,2712
ITO,DTW,20
BZN,GCC,3008
LGA,OME,1594
MEM,CAE,623
BMI,BUF,1165
PSC,ERI,642
RKS,SMX,1058
PHX,LGA,246
AEX,CDC,396
DCA,FAT,1235
SJC,GPT,613
MKG,MFR,2475
BLI,SCE,1641
ORD,ITH,4479
CLE,ACT,150
WYS,AVP,106
LRD,LCH,2056
OKC,DTW,8
PVD,CLT,816
FAT,MEM,632
ITO,OGG,119
SBN,TRI,1500
FAR,LMT,971
HLN,LRD,1161
COD,TRI,186
SMF,GTF,189
JAN,FAT,950
FLG,TEX,721
HDN,CLD,60
PFN,RKS,610
IAD,RDD,976
ORF,AZO,1519
COD,MAF,511
ROW,ASE,6838
ALB,SLE,1385
SNA,CRP,1267
EYW,SAT,42
SLE,FAT,8283
LWS,MLU,166
BLI,AUS,13
SDF,PNS,314
ILM,SBN,585
BUF,ROC,51
CRW,KOA,721
BPT,SAV,1476
JAX,BQK,734
FNT,SAT,719
BPT,BNA,704
JFK,MTJ,844
MYR,BNA,19
LIH,ASE,2657
SUX,RHI,1482
GCC,IAD,1119
HTS,SLE,552
BTR,PFN,301
EYW,SCC,344
ALO,MSN,489
TPA,OKC,623
RIC,CVG,4337
MLB,SJT,923
PFN,CSG,96
GRR,PSG,1916
GPT,DAB,60
CRP,LEX,1043
MLU,DEN,26
STL,BJI,4410
MLB,ADK,208
SDF,BOI,4866
CDV,HTS,530
PVD,HRL,1
MSP,PBI,617
AZO,CMX,108
CHS,MQT,2030
ADK,MIA,83
AKN,ABE,2919
LAS,GGG,2978
RDM,ELM,289
EGE,PIA,966
BRW,FWA,725
SEA,FSM,2489
HLN,SBP,1132
SBN,OTZ,95
BTV,SEA,3066
MSP,HSV,532
RKS,LIT,1549
MOD,BTM,193
IAH,SAV,1028
BFL,CLL,186
CRP,MLB,118
DAY,WRG,155
RKS,GTR,938
MKG,RIC,4735
ROC,MSY,3224
PDX,XNA,121
CDV,CDV,274
FSD,BNA,482
BRW,AZO,828
PFN,AEX,579
EWR,MLI,61
CHA,PSE,2277
MDT,YAK,1439
MCN,BQN,356
ICT,SLE,1445
SAV,FAY,195
DRO,PNS,18
MFR,CHO,236
SAV,DAB,4283
OTZ,PLN,165
AGS,PIA,79
FNT,JAC,1803
SAT,RIC,4144
AZO,YKM,2414
MTJ,CLE,6701
MDW,RDU,530
CIC,BLI,457
ROC,CHO,388
CLT,RNO,97
LIH,HPN,2108
WRG,FAR,22
MSY,HDN,572
LGA,HPN,2237
COD,PSE,772
GSO,PFN,95
ORD,CAK,432
OTZ,ORD,1863
FLL,PBI,2909
CMX,MAF,2217
FSD,PFN,24
BOS,GNV,30
BET,HOU,410
CLL,CRP,1862
RHI,JAX,842
MSN,MSO,1421
ATL,CHO,2096
ILM,ADQ,516
CRP,BTR,1905
AGS,FLG,4353
ACT,TUS,199
BTM,MEI,1892
OTH,VLD,235
DHN,RIC,1141
SCE,RDU,655
ERI,MKG,2109
TVC,ELM,221
CIC,ICT,161
AKN,OXR,100
MBS,ILM,566
GNV,CMX,11
GJT,LEX,805
DAB,PLN,2638
AMA,BOI,4371
BTM,FSM,578
DHN,HNL,729
CLD,EWN,269
GRR,BOI,1608
LBB,SAT,151
BOS,SYR,28
FAY,HSV,248
EUG,BIS,5333
SUX,COD,2012
CRW,MTJ,265
HLN,DCA,1091
HDN,BQN,9
MFE,PDX,4802
BOI,GFK,10
FAI,LMT,122
MYR,WYS,9
EWN,RDU,7029
CMI,IAH,2534
BFL,CAE,616
BTV,HPN,3453
GPT,AUS,187
SMX,SBP,808
ATW,BIS,4207
ABQ,CLD,1532
BIL,ROW,3020
LEX,RDU,29
PDX,PSP,80
PHX,MYR,874
AVL,PIR,399
HOU,HDN,74
DLH,CHO,1701
SJU,BET,934
ASE,SGF,164
LEX,LRD,4521
SAN,BLI,82
OMA,MOD,50
LAX,BQK,4401
AZO,LAN,5557
SAV,BMI,918
PSC,ILM,1035
SNA,ABY,2168
RIC,BOS,2770
PLN,SWF,775
CAE,AVP,1856
BJI,BRW,924
ELM,IYK,25
GST,MLB,1118
CLE,MLB,1164
RKS,DRO,240
SBA,DCA,1919
ORD,EGE,3364
EYW,BTM,2387
DFW,MFR,802
HHH,MFR,94
IDA,GSP,404
EKO,PIH,439
TWF,JAC,1931
RDD,HLN,350
TPA,BQN,973
ITO,MLI,168
TEX,CLT,233
EWR,BPT,1291
GSP,ROA,202
FLG,FSD,85
MTJ,SCC,2974
RHI,ADK,314
YUM,GRB,97
FLG,DHN,1351
RNO,CAE,246
OTZ,ASE,2509
CWA,BDL,118
RDU,ELM,153
BWI,MCN,660
OME,ITH,3287
YAK,TPA,828
SJU,SJC,188
BMI,RKS,14
CRW,CYS,1451
TUL,MRY,1143
CRW,LMT,628
GUC,AZO,3676
SLE,PLN,3295
LGB,OMA,197
LWS,MSY,894
SNA,EWN,6
BMI,LAX,251
DLG,PLN,2131
SAT,JAN,121
PSG,TUS,702
SLE,LWB,2586
PHL,WYS,814
RFD,CAE,688
DCA,JNU,1727
SJC,PMD,38
SIT,BTM,2434
CDC,SMX,24
MYR,RDM,675
RDU,MAF,714
MOB,GRR,79
LAW,PIH,2628
CHA,CMX,2590
PHL,AGS,1812
LAW,BNA,1598
ORF,TUP,286
RHI,LFT,529
MIA,SDF,911
MAF,SBN,1185
COD,BTM,172
JAC,MIA,4697
ADQ,ABY,1402
MEI,ALO,1687
GGG,ELP,1528
FWA,TYR,123
ADK,GGG,823
TUL,BTM,1996
CPR,KOA,157
FNT,ALO,3562
BNA,MDT,332
DCA,OGD,218
EWR,LIH,188
MOD,DFW,955
MIA,AMA,829
PHF,SIT,2011
LNK,MLI,5474
MOT,CLT,2942
YUM,RDD,1682
CAE,BGR,167
SLE,BET,2818
BTR,ACT,145
AZO,MKE,1619
IDA,SGF,162
RDD,BFL,2584
CMX,ORD,5
LYH,TVC,4623
SAT,RDU,135
DSM,SMX,1055
CPR,ADQ,68
CDV,CYS,1460
LCH,BDL,1553
